Orthogroup	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1	Daphi_LS484712.1	Decap_MF599468.1	Irido_IIV31_HF920637.1	Irido_IIV6_AF303741.1	Lymph_LCD4_MN803438.1	Lymph_LDV1_L63545.1	MCV_ML1_SDDV_MN562489.1	MCV_ML1_SDDV_MT521409.1	MCV_ML1_SDDV_NC_027778.1	MCV_ML1_SDDV_OM037668.1	MCV_MP1_BCFI_MN432490.1	MCV_MP1_BCFI_MT926123.1	MCV_MP1_GSPI_KT804738.1	MCV_MP1_ISKNV_AF371960.1	MCV_MP1_ISKNV_MK689685.1	MCV_MP1_LBUSV_OP009387.1	MCV_MP1_LYCI_AY779031.1	MCV_MP1_LYCI_MW139932.1	MCV_MP1_LYCI_OL774653.1	MCV_MP1_LYCI_OL774654.1	MCV_MP1_LYCI_OL774655.1	MCV_MP1_OSGI_AY894343.1	MCV_MP1_PI_MK098185.1	MCV_MP1_PI_MK098186.1	MCV_MP1_PI_MK098187.1	MCV_MP1_RBIV_AY532606.1	MCV_MP1_RBIV_KC244182.1	MCV_MP1_RSIV_BD143114.1	MCV_MP1_RSIV_MK689686.1	MCV_MP1_RSIV_MT798582.1	MCV_MP1_RSIV_OK042108.1	MCV_MP1_RSIV_OK042109.1	MCV_MP1_RSIV_ON740976.1	MCV_MP1_RSIV_ON743042.1	MCV_MP1_SKIV_MT986830.1	MCV_MP1_SKIV_ON075463.1	MCV_MP1_TRBIV_GQ273492.1	MCV_Unclassified_MG570131.1	MCV_Unclassified_MG570132.1	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
OG0000940																																													Rana_SGIV_AY521625.1_00093
OG0000941																																													Rana_SGIV_AY521625.1_00095
OG0000942																																													Rana_SGIV_AY521625.1_00096
OG0000943																																													Rana_SGIV_AY521625.1_00099
OG0000944																																													Rana_SGIV_AY521625.1_00101
OG0000945																																													Rana_SGIV_AY521625.1_00103
OG0000946																																													Rana_SGIV_AY521625.1_00112
OG0000947																																													Rana_SGIV_AY521625.1_00114
OG0000948																																													Rana_SGIV_AY521625.1_00120
OG0000949																																													Rana_SGIV_AY521625.1_00121
OG0000950																																													Rana_SGIV_AY521625.1_00122
OG0000951																																													Rana_SGIV_AY521625.1_00129
OG0000952																																													Rana_SGIV_AY521625.1_00132
OG0000953																																													Rana_SGIV_AY521625.1_00134
OG0000954																																													Rana_SGIV_AY521625.1_00135
OG0000955																																													Rana_SGIV_AY521625.1_00136
OG0000956																																													Rana_SGIV_AY521625.1_00138
OG0000957																																													Rana_SGIV_AY521625.1_00139
OG0000958																																													Rana_SGIV_AY521625.1_00141
