HOG	OG	Gene Tree Parent Clade	AF303741	AF371960	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT521409	MT798582	MT926123	MT986830	MW139932	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON740976	ON743042	OP009387	OQ475017
N33.HOG0000087	OG0000191	n0	AF303741.1_00177 hypothetical protein						HF920633.1_00035 hypothetical protein	HF920637.1_00035 HF920637.1 - hypothetical protein translation		KF938901.1_00010 hypothetical protein			LS484712.1_00163 hypothetical protein																												
N33.HOG0000088	OG0000192	n0	AF303741.1_00184 hypothetical protein						HF920633.1_00029 hypothetical protein	HF920637.1_00009 HF920637.1 - hypothetical protein translation		KF938901.1_00008 hypothetical protein			LS484712.1_00120 hypothetical protein																												
N33.HOG0000089	OG0000193	n0	AF303741.1_00193 hypothetical protein						HF920633.1_00121 hypothetical protein	HF920637.1_00149 HF920637.1 - hypothetical protein translation		KF938901.1_00113 hypothetical protein			LS484712.1_00106 hypothetical protein																												
N33.HOG0000090	OG0000194	n0	AF303741.1_00197 hypothetical protein						HF920633.1_00125 hypothetical protein	HF920637.1_00005 HF920637.1 - hypothetical protein translation		KF938901.1_00148 hypothetical protein				MF599468.1_00125 MF599468.1 - hypothetical protein translation																											
N33.HOG0000091	OG0000195	n0														MF599468.1_00006 MF599468.1 - hypothetical protein translation																											
N33.HOG0000092	OG0000198	n0							HF920633.1_00139 hypothetical protein	HF920637.1_00024 HF920637.1 - hypothetical protein translation		KF938901.1_00137 hypothetical protein																															
N33.HOG0000093	OG0000200	n0	AF303741.1_00008 hypothetical protein						HF920633.1_00101 hypothetical protein	HF920637.1_00215 HF920637.1 - hypothetical protein translation					LS484712.1_00052 hypothetical protein																												
N33.HOG0000094	OG0000201	n0	AF303741.1_00012 hypothetical protein							HF920637.1_00177 HF920637.1 - hypothetical protein translation, HF920637.1_00065 HF920637.1 - hypothetical protein translation, HF920637.1_00115 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000095	OG0000202	n0	AF303741.1_00018 hypothetical protein						HF920633.1_00008 hypothetical protein	HF920637.1_00211 HF920637.1 - hypothetical protein translation		KF938901.1_00130 hypothetical protein																															
N33.HOG0000096	OG0000203	n0	AF303741.1_00024 hypothetical protein							HF920637.1_00083 HF920637.1 - hypothetical protein translation, HF920637.1_00008 HF920637.1 - hypothetical protein translation, HF920637.1_00200 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000097	OG0000204	n0	AF303741.1_00042 hypothetical protein						HF920633.1_00063 hypothetical protein	HF920637.1_00188 HF920637.1 - hypothetical protein translation		KF938901.1_00057 hypothetical protein																															
N33.HOG0000098	OG0000205	n0	AF303741.1_00044 hypothetical protein						HF920633.1_00160 hypothetical protein	HF920637.1_00187 HF920637.1 - hypothetical protein translation		KF938901.1_00082 hypothetical protein																															
N33.HOG0000099	OG0000206	n0	AF303741.1_00064 hypothetical protein						HF920633.1_00061 hypothetical protein	HF920637.1_00074 HF920637.1 - hypothetical protein translation		KF938901.1_00109 hypothetical protein																															
N33.HOG0000100	OG0000207	n0	AF303741.1_00074 hypothetical protein						HF920633.1_00018 hypothetical protein			KF938901.1_00029 hypothetical protein			LS484712.1_00233 hypothetical protein																												
N33.HOG0000101	OG0000208	n0	AF303741.1_00107 hypothetical protein						HF920633.1_00023 hypothetical protein	HF920637.1_00204 HF920637.1 - hypothetical protein translation		KF938901.1_00098 hypothetical protein																															
N33.HOG0000102	OG0000209	n0	AF303741.1_00120 hypothetical protein						HF920633.1_00102 hypothetical protein	HF920637.1_00124 HF920637.1 - hypothetical protein translation		KF938901.1_00136 hypothetical protein																															
N33.HOG0000103	OG0000210	n0	AF303741.1_00124 hypothetical protein						HF920633.1_00074 hypothetical protein	HF920637.1_00144 HF920637.1 - hypothetical protein translation		KF938901.1_00045 hypothetical protein																															
N33.HOG0000104	OG0000211	n0	AF303741.1_00135 hypothetical protein						HF920633.1_00087 hypothetical protein	HF920637.1_00167 HF920637.1 - hypothetical protein translation		KF938901.1_00090 hypothetical protein																															
N33.HOG0000105	OG0000212	n0	AF303741.1_00159 hypothetical protein						HF920633.1_00041 hypothetical protein	HF920637.1_00040 HF920637.1 - hypothetical protein translation		KF938901.1_00155 hypothetical protein																															
N33.HOG0000106	OG0000213	n0	AF303741.1_00160 hypothetical protein						HF920633.1_00013 hypothetical protein	HF920637.1_00195 HF920637.1 - hypothetical protein translation		KF938901.1_00035 hypothetical protein																															
N33.HOG0000107	OG0000214	n0	AF303741.1_00175 hypothetical protein						HF920633.1_00113 hypothetical protein	HF920637.1_00012 HF920637.1 - hypothetical protein translation		KF938901.1_00062 hypothetical protein																															
N33.HOG0000108	OG0000215	n0	AF303741.1_00203 hypothetical protein						HF920633.1_00037 hypothetical protein	HF920637.1_00022 HF920637.1 - hypothetical protein translation		KF938901.1_00107 hypothetical protein																															
N33.HOG0000109	OG0000216	n0	AF303741.1_00204 hypothetical protein						HF920633.1_00155 hypothetical protein	HF920637.1_00021 HF920637.1 - hypothetical protein translation		KF938901.1_00154 hypothetical protein																															
N33.HOG0000110	OG0000219	n0														MF599468.1_00062 MF599468.1 - hypothetical protein translation																											
N33.HOG0000111	OG0000228	n0													LS484712.1_00024 Golgi anti-apoptotic protein																												
N33.HOG0000112	OG0000229	n0													LS484712.1_00156 hypothetical protein, LS484712.1_00161 hypothetical protein, LS484712.1_00154 hypothetical protein, LS484712.1_00158 hypothetical protein																												
N33.HOG0000113	OG0000230	n0													LS484712.1_00249 hypothetical protein, LS484712.1_00229 hypothetical protein, LS484712.1_00231 hypothetical protein, LS484712.1_00227 hypothetical protein																												
N33.HOG0000114	OG0000232	-	AF303741.1_00028 hypothetical protein						HF920633.1_00016 hypothetical protein			KF938901.1_00038 hypothetical protein																															
N33.HOG0000115	OG0000233	-	AF303741.1_00053 hypothetical protein							HF920637.1_00053 HF920637.1 - hypothetical protein translation		KF938901.1_00015 hypothetical protein																															
N33.HOG0000116	OG0000234	-	AF303741.1_00077 hypothetical protein							HF920637.1_00090 HF920637.1 - hypothetical protein translation						MF599468.1_00072 MF599468.1 - hypothetical protein translation																											
N33.HOG0000117	OG0000235	-	AF303741.1_00093 hypothetical protein							HF920637.1_00174 HF920637.1 - hypothetical protein translation		KF938901.1_00016 hypothetical protein																															
N33.HOG0000118	OG0000236	-	AF303741.1_00115 hypothetical protein						HF920633.1_00070 hypothetical protein			KF938901.1_00018 hypothetical protein																															
N33.HOG0000119	OG0000237	-	AF303741.1_00116 hypothetical protein						HF920633.1_00167 hypothetical protein			KF938901.1_00040 hypothetical protein																															
N33.HOG0000120	OG0000238	-	AF303741.1_00190 hypothetical protein							HF920637.1_00203 HF920637.1 - hypothetical protein translation						MF599468.1_00039 MF599468.1 - hypothetical protein translation																											
N33.HOG0000121	OG0000239	-	AF303741.1_00201 hypothetical protein							HF920637.1_00063 HF920637.1 - hypothetical protein translation		KF938901.1_00122 hypothetical protein																															
N33.HOG0000122	OG0000240	-	AF303741.1_00202 hypothetical protein							HF920637.1_00064 HF920637.1 - hypothetical protein translation						MF599468.1_00107 MF599468.1 - hypothetical protein translation																											
N33.HOG0000123	OG0000244	-							HF920633.1_00012 hypothetical protein			KF938901.1_00034 hypothetical protein, KF938901.1_00032 hypothetical protein																															
N33.HOG0000124	OG0000245	-							HF920633.1_00060 hypothetical protein			KF938901.1_00050 hypothetical protein			LS484712.1_00207 hypothetical protein																												
N33.HOG0000125	OG0000246	-							HF920633.1_00159 hypothetical protein			KF938901.1_00083 hypothetical protein			LS484712.1_00206 hypothetical protein																												
N33.HOG0000126	OG0000247	-							HF920633.1_00164 hypothetical protein			KF938901.1_00013 hypothetical protein			LS484712.1_00201 hypothetical protein																												
N33.HOG0000127	OG0000250	-													LS484712.1_00160 hypothetical protein, LS484712.1_00157 hypothetical protein, LS484712.1_00155 hypothetical protein																												
N33.HOG0000128	OG0000251	-													LS484712.1_00232 hypothetical protein, LS484712.1_00228 hypothetical protein, LS484712.1_00230 hypothetical protein																												
N33.HOG0000129	OG0000252	-													LS484712.1_00265 hypothetical protein, LS484712.1_00264 hypothetical protein, LS484712.1_00263 hypothetical protein																												
N33.HOG0000130	OG0000253	-													LS484712.1_00272 hypothetical protein, LS484712.1_00271 hypothetical protein, LS484712.1_00273 hypothetical protein																												
N33.HOG0000131	OG0000295	-	AF303741.1_00002 hypothetical protein						HF920633.1_00075 hypothetical protein																																		
N33.HOG0000132	OG0000296	-	AF303741.1_00010 hypothetical protein							HF920637.1_00214 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000133	OG0000297	-	AF303741.1_00014 hypothetical protein							HF920637.1_00154 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000134	OG0000298	-	AF303741.1_00016 hypothetical protein						HF920633.1_00002 hypothetical protein																																		
N33.HOG0000135	OG0000299	-	AF303741.1_00020 hypothetical protein							HF920637.1_00155 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000136	OG0000300	-	AF303741.1_00025 hypothetical protein							HF920637.1_00131 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000137	OG0000301	-	AF303741.1_00027 hypothetical protein							HF920637.1_00107 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000138	OG0000302	-	AF303741.1_00034 hypothetical protein							HF920637.1_00103 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000139	OG0000303	-	AF303741.1_00040 hypothetical protein							HF920637.1_00191 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000140	OG0000304	-	AF303741.1_00043 hypothetical protein						HF920633.1_00178 hypothetical protein																																		
N33.HOG0000141	OG0000305	-	AF303741.1_00045 hypothetical protein							HF920637.1_00186 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000142	OG0000306	-	AF303741.1_00048 hypothetical protein						HF920633.1_00166 hypothetical protein																																		
N33.HOG0000143	OG0000307	-	AF303741.1_00050 hypothetical protein							HF920637.1_00179 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000144	OG0000308	-	AF303741.1_00052 hypothetical protein							HF920637.1_00055 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000145	OG0000309	-	AF303741.1_00055 hypothetical protein							HF920637.1_00050 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000146	OG0000310	-	AF303741.1_00060 hypothetical protein							HF920637.1_00082 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000147	OG0000311	-	AF303741.1_00061 hypothetical protein							HF920637.1_00081 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000148	OG0000312	-	AF303741.1_00069 hypothetical protein						HF920633.1_00065 hypothetical protein																																		
N33.HOG0000149	OG0000313	-	AF303741.1_00092 hypothetical protein							HF920637.1_00104 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000150	OG0000314	-	AF303741.1_00097 hypothetical protein							HF920637.1_00046 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000151	OG0000315	-	AF303741.1_00098 hypothetical protein							HF920637.1_00171 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000152	OG0000316	-	AF303741.1_00102 hypothetical protein							HF920637.1_00088 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000153	OG0000317	-	AF303741.1_00111 hypothetical protein						HF920633.1_00140 hypothetical protein																																		
N33.HOG0000154	OG0000318	-	AF303741.1_00113 hypothetical protein							HF920637.1_00006 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000155	OG0000319	-	AF303741.1_00118 hypothetical protein							HF920637.1_00126 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000156	OG0000320	-	AF303741.1_00119 hypothetical protein							HF920637.1_00125 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000157	OG0000321	-	AF303741.1_00131 hypothetical protein							HF920637.1_00135 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000158	OG0000322	-	AF303741.1_00139 hypothetical protein							HF920637.1_00207 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000159	OG0000323	-	AF303741.1_00140 hypothetical protein							HF920637.1_00202 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000160	OG0000324	-	AF303741.1_00143 hypothetical protein							HF920637.1_00209 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000161	OG0000325	-	AF303741.1_00155 hypothetical protein							HF920637.1_00032 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000162	OG0000326	-	AF303741.1_00163 hypothetical protein							HF920637.1_00023 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000163	OG0000327	-	AF303741.1_00166 hypothetical protein							HF920637.1_00002 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000164	OG0000328	-	AF303741.1_00167 hypothetical protein							HF920637.1_00185 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000165	OG0000329	-	AF303741.1_00172 hypothetical protein							HF920637.1_00134 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000166	OG0000330	-	AF303741.1_00180 hypothetical protein						HF920633.1_00176 hypothetical protein																																		
N33.HOG0000167	OG0000331	-	AF303741.1_00186 hypothetical protein						HF920633.1_00055 hypothetical protein																																		
N33.HOG0000168	OG0000332	-	AF303741.1_00187 hypothetical protein							HF920637.1_00173 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000169	OG0000333	-	AF303741.1_00196 hypothetical protein							HF920637.1_00030 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000170	OG0000334	-	AF303741.1_00198 hypothetical protein							HF920637.1_00007 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000171	OG0000335	-	AF303741.1_00199 hypothetical protein							HF920637.1_00076 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000172	OG0000359	-							HF920633.1_00005 hypothetical protein			KF938901.1_00026 hypothetical protein																															
N33.HOG0000173	OG0000360	-							HF920633.1_00006 hypothetical protein			KF938901.1_00028 hypothetical protein																															
N33.HOG0000174	OG0000361	-							HF920633.1_00015 hypothetical protein			KF938901.1_00037 hypothetical protein																															
N33.HOG0000175	OG0000362	-							HF920633.1_00033 hypothetical protein			KF938901.1_00149 hypothetical protein																															
N33.HOG0000176	OG0000363	-							HF920633.1_00042 hypothetical protein			KF938901.1_00110 hypothetical protein																															
N33.HOG0000177	OG0000364	-							HF920633.1_00045 hypothetical protein			KF938901.1_00041 hypothetical protein																															
N33.HOG0000178	OG0000365	-							HF920633.1_00048 hypothetical protein			KF938901.1_00068 hypothetical protein																															
N33.HOG0000179	OG0000366	-							HF920633.1_00049 hypothetical protein			KF938901.1_00004 hypothetical protein																															
N33.HOG0000180	OG0000367	-							HF920633.1_00051 hypothetical protein			KF938901.1_00078 hypothetical protein																															
N33.HOG0000181	OG0000368	-							HF920633.1_00052 hypothetical protein			KF938901.1_00011 hypothetical protein																															
N33.HOG0000182	OG0000369	-							HF920633.1_00066 hypothetical protein			KF938901.1_00059 hypothetical protein																															
N33.HOG0000183	OG0000370	-							HF920633.1_00078 hypothetical protein			KF938901.1_00042 hypothetical protein																															
N33.HOG0000184	OG0000371	-							HF920633.1_00089 hypothetical protein			KF938901.1_00096 hypothetical protein																															
N33.HOG0000185	OG0000372	-							HF920633.1_00090 hypothetical protein			KF938901.1_00051 hypothetical protein																															
N33.HOG0000186	OG0000373	-							HF920633.1_00095 hypothetical protein			KF938901.1_00002 hypothetical protein																															
N33.HOG0000187	OG0000374	-							HF920633.1_00111 hypothetical protein			KF938901.1_00132 hypothetical protein																															
N33.HOG0000188	OG0000375	-							HF920633.1_00112 hypothetical protein	HF920637.1_00170 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000189	OG0000376	-							HF920633.1_00115 hypothetical protein			KF938901.1_00144 hypothetical protein																															
N33.HOG0000190	OG0000377	-							HF920633.1_00136 mRNA-decapping protein D10			KF938901.1_00087 hypothetical protein																															
N33.HOG0000191	OG0000378	-							HF920633.1_00137 hypothetical protein	HF920637.1_00027 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000192	OG0000379	-							HF920633.1_00141 hypothetical protein			KF938901.1_00061 hypothetical protein																															
N33.HOG0000193	OG0000380	-							HF920633.1_00142 hypothetical protein			KF938901.1_00071 hypothetical protein																															
N33.HOG0000194	OG0000381	-							HF920633.1_00151 hypothetical protein			KF938901.1_00003 hypothetical protein																															
N33.HOG0000195	OG0000382	-							HF920633.1_00157 hypothetical protein			KF938901.1_00129 hypothetical protein																															
N33.HOG0000196	OG0000383	-							HF920633.1_00162 hypothetical protein			KF938901.1_00088 hypothetical protein																															
N33.HOG0000197	OG0000384	-								HF920637.1_00036 HF920637.1 - hypothetical protein translation, HF920637.1_00038 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000198	OG0000385	-								HF920637.1_00037 HF920637.1 - hypothetical protein translation, HF920637.1_00039 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000199	OG0000386	-								HF920637.1_00051 HF920637.1 - hypothetical protein translation, HF920637.1_00157 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000200	OG0000387	-								HF920637.1_00066 HF920637.1 - hypothetical protein translation, HF920637.1_00178 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000201	OG0000388	-								HF920637.1_00078 HF920637.1 - hypothetical protein translation		KF938901.1_00157 hypothetical protein																															
N33.HOG0000202	OG0000389	-								HF920637.1_00113 HF920637.1 - hypothetical protein translation					LS484712.1_00006 hypothetical protein																												
N33.HOG0000203	OG0000449	-													LS484712.1_00042 hypothetical protein, LS484712.1_00056 hypothetical protein																												
N33.HOG0000204	OG0000450	-													LS484712.1_00099 hypothetical protein, LS484712.1_00100 hypothetical protein																												
N33.HOG0000205	OG0000451	-													LS484712.1_00127 hypothetical protein, LS484712.1_00125 hypothetical protein																												
N33.HOG0000206	OG0000452	-													LS484712.1_00170 hypothetical protein, LS484712.1_00171 hypothetical protein																												
N33.HOG0000207	OG0000453	-													LS484712.1_00213 hypothetical protein, LS484712.1_00214 hypothetical protein																												
N33.HOG0000208	OG0000454	-													LS484712.1_00216 hypothetical protein, LS484712.1_00215 hypothetical protein																												
N33.HOG0000209	OG0000455	-													LS484712.1_00245 hypothetical protein, LS484712.1_00238 hypothetical protein																												
N33.HOG0000210	OG0000456	-													LS484712.1_00277 hypothetical protein, LS484712.1_00279 hypothetical protein																												
N33.HOG0000211	OG0000457	-														MF599468.1_00094 MF599468.1 - hypothetical protein translation, MF599468.1_00031 MF599468.1 - hypothetical protein translation																											
N33.HOG0000212	OG0000458	-														MF599468.1_00077 MF599468.1 - hypothetical protein translation, MF599468.1_00078 MF599468.1 - hypothetical protein translation																											
N33.HOG0000213	OG0000459	-														MF599468.1_00134 MF599468.1 - hypothetical protein translation, MF599468.1_00144 MF599468.1 - hypothetical protein translation																											
N33.HOG0000214	OG0000460	-														MF599468.1_00143 MF599468.1 - hypothetical protein translation, MF599468.1_00169 MF599468.1 - hypothetical protein translation																											
