Orthogroup	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
OG0000879																			MF599468.1_00139 MF599468.1 - hypothetical protein translation																																																					
OG0000880																			MF599468.1_00140 MF599468.1 - hypothetical protein translation																																																					
OG0000881																			MF599468.1_00146 MF599468.1 - hypothetical protein translation																																																					
OG0000882																			MF599468.1_00147 MF599468.1 - hypothetical protein translation																																																					
OG0000883																			MF599468.1_00148 MF599468.1 - hypothetical protein translation																																																					
OG0000884																			MF599468.1_00150 MF599468.1 - hypothetical protein translation																																																					
OG0000885																			MF599468.1_00151 MF599468.1 - hypothetical protein translation																																																					
OG0000886																			MF599468.1_00153 MF599468.1 - hypothetical protein translation																																																					
OG0000887																			MF599468.1_00160 MF599468.1 - hypothetical protein translation																																																					
OG0000888																			MF599468.1_00164 MF599468.1 - hypothetical protein translation																																																					
OG0000889																			MF599468.1_00165 MF599468.1 - hypothetical protein translation																																																					
OG0000890																			MF599468.1_00166 MF599468.1 - hypothetical protein translation																																																					
OG0000891																			MF599468.1_00167 MF599468.1 - hypothetical protein translation																																																					
OG0000892																			MF599468.1_00168 MF599468.1 - hypothetical protein translation																																																					
OG0000893																			MF599468.1_00170 MF599468.1 - hypothetical protein translation																																																					
OG0000894																			MF599468.1_00173 MF599468.1 - hypothetical protein translation																																																					
OG0000895																			MF599468.1_00175 MF599468.1 - hypothetical protein translation																																																					
OG0000896																				MG570131.1_00022 hypothetical protein																																																				
OG0000897																													MN803438.1_00009 hypothetical protein																																											
OG0000898																													MN803438.1_00017 hypothetical protein																																											
OG0000899																													MN803438.1_00029 hypothetical protein																																											
OG0000900																													MN803438.1_00052 hypothetical protein																																											
OG0000901																													MN803438.1_00055 hypothetical protein																																											
OG0000902																													MN803438.1_00066 hypothetical protein																																											
OG0000903																													MN803438.1_00074 hypothetical protein																																											
OG0000904																													MN803438.1_00084 hypothetical protein																																											
OG0000905																													MN803438.1_00100 hypothetical protein																																											
OG0000906																													MN803438.1_00108 hypothetical protein																																											
OG0000907																													MN803438.1_00117 hypothetical protein																																											
OG0000908																													MN803438.1_00138 hypothetical protein																																											
OG0000909																															AF371960.1_00028 hypothetical protein																																									
OG0000910																																		AF371960.1_00028 hypothetical protein																																						
OG0000911																																					AF371960.1_00028 hypothetical protein																																			
OG0000912																																							AF371960.1_00028 hypothetical protein																																	
OG0000913																																									DNA-binding protein_refgen DNA-binding protein																															
OG0000914																																										AF371960.1_00117 hypothetical protein																														
OG0000915																																													AF371960.1_00028 hypothetical protein																											
OG0000916																																																AF371960.1_00059 hypothetical protein																								
OG0000917																																																		AF371960.1_00028 hypothetical protein																						
OG0000918																																																				NC_005946.1_00008 hypothetical protein																				
OG0000919																																																				NC_005946.1_00009 hypothetical protein																				
OG0000920																																																				NC_005946.1_00019 hypothetical protein																				
OG0000921																																																				NC_005946.1_00027 hypothetical protein																				
OG0000922																																																				NC_005946.1_00030 hypothetical protein																				
OG0000923																																																				NC_005946.1_00031 hypothetical protein																				
OG0000924																																																				NC_005946.1_00032 hypothetical protein																				
OG0000925																																																				NC_005946.1_00036 hypothetical protein																				
OG0000926																																																				NC_005946.1_00037 hypothetical protein																				
OG0000927																																																				NC_005946.1_00040 hypothetical protein																				
OG0000928																																																				NC_005946.1_00041 hypothetical protein																				
OG0000929																																																				NC_005946.1_00043 hypothetical protein																				
OG0000930																																																				NC_005946.1_00045 hypothetical protein																				
OG0000931																																																				NC_005946.1_00046 hypothetical protein																				
OG0000932																																																				NC_005946.1_00048 hypothetical protein																				
OG0000933																																																				NC_005946.1_00050 hypothetical protein																				
OG0000934																																																				NC_005946.1_00055 hypothetical protein																				
OG0000935																																																				NC_005946.1_00065 hypothetical protein																				
OG0000936																																																				NC_005946.1_00066 hypothetical protein																				
OG0000937																																																				NC_005946.1_00068 hypothetical protein																				
OG0000938																																																				NC_005946.1_00070 hypothetical protein																				
OG0000939																																																				NC_005946.1_00071 hypothetical protein																				
OG0000940																																																				NC_005946.1_00074 hypothetical protein																				
OG0000941																																																				NC_005946.1_00078 hypothetical protein																				
OG0000942																																																				NC_005946.1_00093 hypothetical protein																				
OG0000943																																																				NC_005946.1_00097 hypothetical protein																				
OG0000944																																																										OM037668.1_00059 hypothetical protein														
OG0000945																																																												AF371960.1_00028 hypothetical protein												
OG0000946																																																																AF371960.1_00028 hypothetical protein								
OG0000947																																																																	OQ475017.1_00025 OQ475017.1 - hypothetical protein translation							
OG0000948																																																																	OQ475017.1_00028 OQ475017.1 - hypothetical protein translation							
OG0000949																																																																	OQ475017.1_00089 OQ475017.1 - hypothetical protein translation							
OG0000950																																																																	OQ475017.1_00090 OQ475017.1 - hypothetical protein translation							
OG0000951																																																																			AF371960.1_00028 hypothetical protein					
OG0000952																																																																								PQ335173_PQ335174_00017 PQ335173_PQ335174 - hypothetical protein translation
OG0000953																																																																								PQ335173_PQ335174_00038 PQ335173_PQ335174 - hypothetical protein translation
OG0000954																																																																								PQ335173_PQ335174_00100 PQ335173_PQ335174 - hypothetical protein translation
OG0000955																																																																								PQ335173_PQ335174_00104 PQ335173_PQ335174 - hypothetical protein translation
OG0000956																																																																								PQ335173_PQ335174_00113 PQ335173_PQ335174 - hypothetical protein translation
