HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N44.HOG0000075	OG0000128	n0											HF920633.1_00116 hypothetical protein	HF920637.1_00183 HF920637.1 - hypothetical protein translation							MF599468.1_00103 MF599468.1 - hypothetical protein translation, MF599468.1_00091 MF599468.1 - hypothetical protein translation, MF599468.1_00128 MF599468.1 - hypothetical protein translation, MF599468.1_00038 MF599468.1 - hypothetical protein translation, MF599468.1_00070 MF599468.1 - hypothetical protein translation, MF599468.1_00145 MF599468.1 - hypothetical protein translation, MF599468.1_00023 MF599468.1 - hypothetical protein translation, MF599468.1_00024 MF599468.1 - hypothetical protein translation, MF599468.1_00054 MF599468.1 - hypothetical protein translation, MF599468.1_00104 MF599468.1 - hypothetical protein translation, MF599468.1_00029 MF599468.1 - hypothetical protein translation, MF599468.1_00101 MF599468.1 - hypothetical protein translation, MF599468.1_00055 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000076	OG0000129	n0				AF303741.1_00088 hypothetical protein							HF920633.1_00081 hypothetical protein, HF920633.1_00059 hypothetical protein, HF920633.1_00119 hypothetical protein			KF938901.1_00135 hypothetical protein, KF938901.1_00151 hypothetical protein, KF938901.1_00001 hypothetical protein, KF938901.1_00158 hypothetical protein, KF938901.1_00084 hypothetical protein, KF938901.1_00030 hypothetical protein, KF938901.1_00119 hypothetical protein, KF938901.1_00127 hypothetical protein																																																										
N44.HOG0000077	OG0000130	n0																		LS484712.1_00025 hypothetical protein, LS484712.1_00026 hypothetical protein, LS484712.1_00027 hypothetical protein, LS484712.1_00031 hypothetical protein, LS484712.1_00032 hypothetical protein, LS484712.1_00028 hypothetical protein, LS484712.1_00030 hypothetical protein, LS484712.1_00034 hypothetical protein, LS484712.1_00252 hypothetical protein, LS484712.1_00253 hypothetical protein, LS484712.1_00254 hypothetical protein																																																						
N44.HOG0000078	OG0000131	n0				AF303741.1_00130 hypothetical protein, AF303741.1_00089 hypothetical protein							HF920633.1_00004 hypothetical protein	HF920637.1_00058 HF920637.1 - hypothetical protein translation, HF920637.1_00199 HF920637.1 - hypothetical protein translation, HF920637.1_00201 HF920637.1 - hypothetical protein translation, HF920637.1_00093 HF920637.1 - hypothetical protein translation, HF920637.1_00094 HF920637.1 - hypothetical protein translation, HF920637.1_00057 HF920637.1 - hypothetical protein translation, HF920637.1_00216 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000079	OG0000132	n0				AF303741.1_00126 hypothetical protein			AY521625.1_00098 AY521625.1 - hypothetical protein translation				HF920633.1_00135 hypothetical protein	HF920637.1_00219 HF920637.1 - hypothetical protein translation		KF938901.1_00086 hypothetical protein			Lymph_LDV3_KX643370_00121 hypothetical protein	LS484712.1_00057 hypothetical protein	MF599468.1_00002 MF599468.1 - hypothetical protein translation										MN803438.1_00115 hypothetical protein																							NC_005946.1_00001 hypothetical protein																				
N44.HOG0000080	OG0000133	n0																		LS484712.1_00072 hypothetical protein, LS484712.1_00255 hypothetical protein, LS484712.1_00069 hypothetical protein, LS484712.1_00070 hypothetical protein, LS484712.1_00068 hypothetical protein, LS484712.1_00065 hypothetical protein, LS484712.1_00064 hypothetical protein, LS484712.1_00010 hypothetical protein, LS484712.1_00008 hypothetical protein, LS484712.1_00009 hypothetical protein																																																						
N44.HOG0000081	OG0000134	n0				AF303741.1_00031 hypothetical protein			AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation				HF920633.1_00132 hypothetical protein	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation		KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit			Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit											MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit																							NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit																				
N44.HOG0000082	OG0000135	n0				AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein							HF920633.1_00053 hypothetical protein	HF920637.1_00181 HF920637.1 - hypothetical protein translation		KF938901.1_00065 hypothetical protein			Lymph_LDV3_KX643370_00145 hypothetical protein	LS484712.1_00063 hypothetical protein	MF599468.1_00051 MF599468.1 - hypothetical protein translation										MN803438.1_00137 hypothetical protein																																											
N44.HOG0000083	OG0000136	n0				AF303741.1_00101 Thymidylate synthase							HF920633.1_00156 Thymidylate synthase	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation		KF938901.1_00108 Thymidylate synthase			Lymph_LDV3_KX643370_00042 Thymidylate synthase											OM037668.1_00068 Thymidylate synthase	MN803438.1_00005 Thymidylate synthase			OM037668.1_00068 Thymidylate synthase																										OM037668.1_00068 Thymidylate synthase														
N44.HOG0000084	OG0000137	n0																			MF599468.1_00032 MF599468.1 - hypothetical protein translation, MF599468.1_00069 MF599468.1 - hypothetical protein translation, MF599468.1_00068 MF599468.1 - hypothetical protein translation, MF599468.1_00111 MF599468.1 - hypothetical protein translation, MF599468.1_00109 MF599468.1 - hypothetical protein translation, MF599468.1_00110 MF599468.1 - hypothetical protein translation, MF599468.1_00136 MF599468.1 - hypothetical protein translation, MF599468.1_00137 MF599468.1 - hypothetical protein translation, MF599468.1_00138 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000085	OG0000138	n0																												OM037668.1_00006 hypothetical protein, OM037668.1_00125 hypothetical protein, OM037668.1_00133 hypothetical protein				OM037668.1_00006 hypothetical protein, OM037668.1_00125 hypothetical protein, OM037668.1_00133 hypothetical protein																										OM037668.1_00006 hypothetical protein, OM037668.1_00125 hypothetical protein, OM037668.1_00133 hypothetical protein														
N44.HOG0000086	OG0000139	n0																												OM037668.1_00066 hypothetical protein, OM037668.1_00131 hypothetical protein, OM037668.1_00132 hypothetical protein				OM037668.1_00066 hypothetical protein, OM037668.1_00131 hypothetical protein, OM037668.1_00132 hypothetical protein																										OM037668.1_00066 hypothetical protein, OM037668.1_00131 hypothetical protein, OM037668.1_00132 hypothetical protein														
N44.HOG0000087	OG0000140	n0				AF303741.1_00072 hypothetical protein			AY521625.1_00133 AY521625.1 - hypothetical protein translation				HF920633.1_00026 hypothetical protein	HF920637.1_00060 HF920637.1 - putative helicase D10 translation		KF938901.1_00069 hypothetical protein				LS484712.1_00133 hypothetical protein	MF599468.1_00161 MF599468.1 - hypothetical protein translation																																	NC_005946.1_00054 hypothetical protein																				
N44.HOG0000088	OG0000141	n0				AF303741.1_00157 hypothetical protein							HF920633.1_00064 hypothetical protein	HF920637.1_00014 HF920637.1 - hypothetical protein translation		KF938901.1_00007 hypothetical protein			Lymph_LDV3_KX643370_00043 hypothetical protein	LS484712.1_00197 hypothetical protein	MF599468.1_00027 MF599468.1 - hypothetical protein translation										MN803438.1_00006 hypothetical protein																																											
N44.HOG0000089	OG0000142	n0				AF303741.1_00185 hypothetical protein							HF920633.1_00104 hypothetical protein, HF920633.1_00092 hypothetical protein, HF920633.1_00153 hypothetical protein, HF920633.1_00014 hypothetical protein, HF920633.1_00027 hypothetical protein	HF920637.1_00169 HF920637.1 - hypothetical protein translation, HF920637.1_00084 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000090	OG0000143	n0																	Lymph_LDV3_KX643370_00085 hypothetical protein, Lymph_LDV3_KX643370_00100 hypothetical protein, Lymph_LDV3_KX643370_00012 hypothetical protein											OM037668.1_00036 hypothetical protein	MN803438.1_00096 hypothetical protein, MN803438.1_00011 hypothetical protein			OM037668.1_00036 hypothetical protein																										OM037668.1_00036 hypothetical protein														
N44.HOG0000091	OG0000144	n0																	Lymph_LDV3_KX643370_00041 Serine proteinase inhibitor 2											OM037668.1_00015 Serine proteinase inhibitor 1, OM037668.1_00071 Serine proteinase inhibitor 2	MN803438.1_00022 Serine proteinase inhibitor 2			OM037668.1_00015 Serine proteinase inhibitor 1, OM037668.1_00071 Serine proteinase inhibitor 2																										OM037668.1_00015 Serine proteinase inhibitor 1, OM037668.1_00071 Serine proteinase inhibitor 2														
N44.HOG0000092	OG0000145	n0																		LS484712.1_00088 hypothetical protein, LS484712.1_00083 hypothetical protein, LS484712.1_00084 hypothetical protein, LS484712.1_00082 hypothetical protein, LS484712.1_00092 hypothetical protein, LS484712.1_00086 hypothetical protein, LS484712.1_00087 hypothetical protein, LS484712.1_00085 hypothetical protein																																																						
N44.HOG0000093	OG0000146	n0				AF303741.1_00070 hypothetical protein, AF303741.1_00099 hypothetical protein							HF920633.1_00129 hypothetical protein, HF920633.1_00099 hypothetical protein, HF920633.1_00019 hypothetical protein, HF920633.1_00100 hypothetical protein	HF920637.1_00151 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000094	OG0000147	n0				AF303741.1_00145 hypothetical protein, AF303741.1_00090 hypothetical protein							HF920633.1_00088 hypothetical protein	HF920637.1_00011 HF920637.1 - hypothetical protein translation, HF920637.1_00180 HF920637.1 - hypothetical protein translation		KF938901.1_00112 hypothetical protein				LS484712.1_00211 hypothetical protein																																																						
N44.HOG0000095	OG0000148	n0				AF303741.1_00183 hypothetical protein							HF920633.1_00036 hypothetical protein	HF920637.1_00168 HF920637.1 - hypothetical protein translation		KF938901.1_00106 hypothetical protein			Lymph_LDV3_KX643370_00140 hypothetical protein		MF599468.1_00074 MF599468.1 - hypothetical protein translation										MN803438.1_00135 hypothetical protein																																											
N44.HOG0000096	OG0000149	n0				AF303741.1_00192 hypothetical protein			AY521625.1_00044 AY521625.1 - Deoxyuridine				HF920633.1_00106 hypothetical protein	HF920637.1_00150 HF920637.1 - hypothetical protein translation		KF938901.1_00118 Deoxyuridine					MF599468.1_00142 MF599468.1 - Deoxyuridine																																	NC_005946.1_00063 Deoxyuridine																				
N44.HOG0000097	OG0000150	n0							AY521625.1_00002 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00047 hypothetical protein											OM037668.1_00001 hypothetical protein	MN803438.1_00010 hypothetical protein			OM037668.1_00001 hypothetical protein																				NC_005946.1_00052 hypothetical protein						OM037668.1_00001 hypothetical protein														
N44.HOG0000098	OG0000151	n0							AY521625.1_00003 AY521625.1 - hypothetical protein translation, AY521625.1_00082 AY521625.1 - hypothetical protein translation, AY521625.1_00080 AY521625.1 - hypothetical protein translation, AY521625.1_00081 AY521625.1 - hypothetical protein translation, AY521625.1_00127 AY521625.1 - hypothetical protein translation, AY521625.1_00078 AY521625.1 - hypothetical protein translation, AY521625.1_00079 AY521625.1 - hypothetical protein translation																																																																	
N44.HOG0000099	OG0000152	n0							AY521625.1_00018 AY521625.1 - hypothetical protein translation				HF920633.1_00024 hypothetical protein			KF938901.1_00027 hypothetical protein			Lymph_LDV3_KX643370_00149 hypothetical protein		MF599468.1_00060 MF599468.1 - hypothetical protein translation										MN803438.1_00003 hypothetical protein																							NC_005946.1_00044 hypothetical protein																				
N44.HOG0000100	OG0000153	n0							AY521625.1_00029 AY521625.1 - hypothetical protein translation, AY521625.1_00033 AY521625.1 - hypothetical protein translation, AY521625.1_00030 AY521625.1 - hypothetical protein translation, AY521625.1_00025 AY521625.1 - hypothetical protein translation, AY521625.1_00032 AY521625.1 - hypothetical protein translation, AY521625.1_00026 AY521625.1 - hypothetical protein translation, AY521625.1_00027 AY521625.1 - hypothetical protein translation																																																																	
N44.HOG0000101	OG0000154	n0							AY521625.1_00046 AY521625.1 - hypothetical protein translation																					OM037668.1_00067 hypothetical protein, OM037668.1_00126 hypothetical protein				OM037668.1_00067 hypothetical protein, OM037668.1_00126 hypothetical protein																										OM037668.1_00067 hypothetical protein, OM037668.1_00126 hypothetical protein														
N44.HOG0000102	OG0000155	n0							AY521625.1_00126 AY521625.1 - hypothetical protein translation					HF920637.1_00072 HF920637.1 - hypothetical protein translation					Lymph_LDV3_KX643370_00090 hypothetical protein		MF599468.1_00156 MF599468.1 - hypothetical protein translation, MF599468.1_00066 MF599468.1 - hypothetical protein translation										MN803438.1_00078 hypothetical protein																							NC_005946.1_00075 hypothetical protein																				
N44.HOG0000103	OG0000156	n0																			MF599468.1_00047 MF599468.1 - hypothetical protein translation, MF599468.1_00049 MF599468.1 - hypothetical protein translation, MF599468.1_00119 MF599468.1 - hypothetical protein translation, MF599468.1_00118 MF599468.1 - hypothetical protein translation, MF599468.1_00159 MF599468.1 - hypothetical protein translation, MF599468.1_00157 MF599468.1 - hypothetical protein translation, MF599468.1_00158 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000104	OG0000157	n0																												OM037668.1_00128 hypothetical protein, OM037668.1_00121 hypothetical protein				OM037668.1_00128 hypothetical protein, OM037668.1_00121 hypothetical protein																										OM037668.1_00128 hypothetical protein, OM037668.1_00122 hypothetical protein, OM037668.1_00121 hypothetical protein														
N44.HOG0000105	OG0000158	n0				AF303741.1_00147 hypothetical protein, AF303741.1_00049 hypothetical protein, AF303741.1_00078 hypothetical protein, AF303741.1_00083 hypothetical protein							HF920633.1_00030 hypothetical protein	HF920637.1_00116 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000106	OG0000159	n0				AF303741.1_00056 hypothetical protein							HF920633.1_00134 hypothetical protein	HF920637.1_00056 HF920637.1 - hypothetical protein translation		KF938901.1_00102 hypothetical protein				LS484712.1_00116 hypothetical protein	MF599468.1_00141 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000107	OG0000160	n0				AF303741.1_00068 hypothetical protein, AF303741.1_00067 hypothetical protein							HF920633.1_00039 hypothetical protein	HF920637.1_00140 HF920637.1 - hypothetical protein translation		KF938901.1_00075 hypothetical protein				LS484712.1_00113 hypothetical protein																																																						
N44.HOG0000108	OG0000161	n0				AF303741.1_00076 hypothetical protein							HF920633.1_00105 hypothetical protein	HF920637.1_00095 HF920637.1 - hypothetical protein translation		KF938901.1_00117 hypothetical protein				LS484712.1_00140 hypothetical protein	MF599468.1_00004 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000109	OG0000162	n0				AF303741.1_00087 hypothetical protein							HF920633.1_00082 hypothetical protein	HF920637.1_00049 HF920637.1 - hypothetical protein translation		KF938901.1_00103 hypothetical protein				LS484712.1_00195 hypothetical protein	MF599468.1_00162 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000110	OG0000163	n0				AF303741.1_00091 DNA ligase							HF920633.1_00169 DNA ligase	HF920637.1_00120 HF920637.1 - DNA ligase translation		KF938901.1_00128 DNA ligase				LS484712.1_00212 hypothetical protein	MF599468.1_00067 MF599468.1 - DNA ligase translation																																																					
N44.HOG0000111	OG0000164	n0				AF303741.1_00096 hypothetical protein							HF920633.1_00177 hypothetical protein	HF920637.1_00045 HF920637.1 - hypothetical protein translation		KF938901.1_00121 hypothetical protein				LS484712.1_00112 hypothetical protein	MF599468.1_00105 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000112	OG0000165	n0				AF303741.1_00105 hypothetical protein			AY521625.1_00014 AY521625.1 - hypothetical protein translation				HF920633.1_00144 hypothetical protein			KF938901.1_00101 hypothetical protein					MF599468.1_00081 MF599468.1 - hypothetical protein translation																																	NC_005946.1_00004 hypothetical protein																				
N44.HOG0000113	OG0000166	n0				AF303741.1_00169 hypothetical protein							HF920633.1_00145 hypothetical protein	HF920637.1_00148 HF920637.1 - hypothetical protein translation, HF920637.1_00077 HF920637.1 - hypothetical protein translation		KF938901.1_00104 hypothetical protein					MF599468.1_00045 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000114	OG0000167	n0				AF303741.1_00179 hypothetical protein							HF920633.1_00046 hypothetical protein	HF920637.1_00067 HF920637.1 - hypothetical protein translation		KF938901.1_00150 hypothetical protein				LS484712.1_00184 hypothetical protein	MF599468.1_00155 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000115	OG0000168	n0				AF303741.1_00181 hypothetical protein							HF920633.1_00161 hypothetical protein, HF920633.1_00031 hypothetical protein	HF920637.1_00069 HF920637.1 - hypothetical protein translation		KF938901.1_00006 hypothetical protein, KF938901.1_00105 hypothetical protein																																																										
N44.HOG0000116	OG0000169	n0				AF303741.1_00182 hypothetical protein							HF920633.1_00096 hypothetical protein	HF920637.1_00071 HF920637.1 - hypothetical protein translation, HF920637.1_00162 HF920637.1 - hypothetical protein translation		KF938901.1_00153 hypothetical protein, KF938901.1_00066 hypothetical protein																																																										
N44.HOG0000117	OG0000170	n0							AY521625.1_00005 AY521625.1 - hypothetical protein translation				HF920633.1_00171 hypothetical protein			KF938901.1_00017 hypothetical protein			Lymph_LDV3_KX643370_00060 hypothetical protein												MN803438.1_00028 hypothetical protein																							NC_005946.1_00026 hypothetical protein																				
N44.HOG0000118	OG0000171	n0							AY521625.1_00011 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00059 hypothetical protein		MF599468.1_00089 MF599468.1 - hypothetical protein translation, MF599468.1_00108 MF599468.1 - hypothetical protein translation										MN803438.1_00030 hypothetical protein																							NC_005946.1_00033 hypothetical protein																				
N44.HOG0000119	OG0000172	n0							AY521625.1_00140 AY521625.1 - hypothetical protein translation				HF920633.1_00034 hypothetical protein			KF938901.1_00009 hypothetical protein			Lymph_LDV3_KX643370_00080 hypothetical protein												MN803438.1_00092 hypothetical protein																							NC_005946.1_00029 hypothetical protein																				
N44.HOG0000120	OG0000173	n0																		LS484712.1_00268 hypothetical protein, LS484712.1_00269 hypothetical protein, LS484712.1_00270 hypothetical protein, LS484712.1_00225 hypothetical protein, LS484712.1_00089 hypothetical protein, LS484712.1_00090 hypothetical protein																																																						
N44.HOG0000121	OG0000174	n0				AF303741.1_00142 hypothetical protein, AF303741.1_00141 hypothetical protein, AF303741.1_00001 hypothetical protein								HF920637.1_00122 HF920637.1 - hypothetical protein translation, HF920637.1_00062 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000122	OG0000175	n0				AF303741.1_00003 hypothetical protein							HF920633.1_00128 hypothetical protein	HF920637.1_00020 HF920637.1 - hypothetical protein translation		KF938901.1_00116 hypothetical protein					MF599468.1_00129 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000123	OG0000176	n0				AF303741.1_00004 hypothetical protein							HF920633.1_00110 hypothetical protein	HF920637.1_00139 HF920637.1 - hypothetical protein translation		KF938901.1_00133 hypothetical protein					MF599468.1_00022 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000124	OG0000177	n0				AF303741.1_00009 hypothetical protein								HF920637.1_00013 HF920637.1 - hypothetical protein translation																OM037668.1_00022 hypothetical protein				OM037668.1_00022 hypothetical protein																										OM037668.1_00022 hypothetical protein														
N44.HOG0000125	OG0000178	n0				AF303741.1_00015 DNA topoisomerase 2							HF920633.1_00149 DNA topoisomerase 2	HF920637.1_00100 HF920637.1 - DNA topoisomerase 2 translation		KF938901.1_00141 DNA topoisomerase 2					MF599468.1_00079 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000126	OG0000179	n0				AF303741.1_00017 hypothetical protein							HF920633.1_00165 hypothetical protein	HF920637.1_00212 HF920637.1 - hypothetical protein translation		KF938901.1_00014 hypothetical protein					MF599468.1_00037 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000127	OG0000180	n0				AF303741.1_00085 hypothetical protein							HF920633.1_00103 hypothetical protein	HF920637.1_00047 HF920637.1 - hypothetical protein translation		KF938901.1_00100 hypothetical protein					MF599468.1_00025 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000128	OG0000181	n0				AF303741.1_00086 hypothetical protein							HF920633.1_00020 hypothetical protein, HF920633.1_00021 hypothetical protein	HF920637.1_00048 HF920637.1 - hypothetical protein translation		KF938901.1_00099 hypothetical protein																																																										
N44.HOG0000129	OG0000182	n0				AF303741.1_00104 hypothetical protein							HF920633.1_00032 hypothetical protein			KF938901.1_00073 hypothetical protein					MF599468.1_00052 MF599468.1 - hypothetical protein translation, MF599468.1_00061 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000130	OG0000183	n0				AF303741.1_00112 hypothetical protein							HF920633.1_00022 hypothetical protein	HF920637.1_00085 HF920637.1 - hypothetical protein translation		KF938901.1_00152 hypothetical protein					MF599468.1_00043 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000131	OG0000184	n0				AF303741.1_00117 hypothetical protein															MF599468.1_00098 MF599468.1 - Thymidylate kinase translation									OM037668.1_00023 hypothetical protein				OM037668.1_00023 hypothetical protein																										OM037668.1_00023 hypothetical protein														
N44.HOG0000132	OG0000185	n0				AF303741.1_00122 hypothetical protein							HF920633.1_00131 hypothetical protein	HF920637.1_00019 HF920637.1 - hypothetical protein translation		KF938901.1_00063 hypothetical protein				LS484712.1_00196 hypothetical protein																																																						
N44.HOG0000133	OG0000186	n0				AF303741.1_00136 hypothetical protein							HF920633.1_00120 hypothetical protein	HF920637.1_00193 HF920637.1 - hypothetical protein translation		KF938901.1_00134 hypothetical protein					MF599468.1_00015 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000134	OG0000187	n0				AF303741.1_00146 hypothetical protein							HF920633.1_00146 hypothetical protein	HF920637.1_00043 HF920637.1 - hypothetical protein translation		KF938901.1_00139 hypothetical protein				LS484712.1_00224 hypothetical protein																																																						
N44.HOG0000135	OG0000188	n0				AF303741.1_00148 hypothetical protein							HF920633.1_00056 hypothetical protein	HF920637.1_00160 HF920637.1 - hypothetical protein translation		KF938901.1_00070 hypothetical protein					MF599468.1_00172 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000136	OG0000189	n0				AF303741.1_00150 hypothetical protein							HF920633.1_00123 hypothetical protein	HF920637.1_00192 HF920637.1 - hypothetical protein translation		KF938901.1_00146 hypothetical protein					MF599468.1_00044 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000137	OG0000190	n0				AF303741.1_00151 hypothetical protein							HF920633.1_00050 hypothetical protein	HF920637.1_00070 HF920637.1 - hypothetical protein translation		KF938901.1_00077 hypothetical protein				LS484712.1_00060 hypothetical protein																																																						
N44.HOG0000138	OG0000191	n0				AF303741.1_00161 hypothetical protein							HF920633.1_00098 hypothetical protein	HF920637.1_00194 HF920637.1 - hypothetical protein translation		KF938901.1_00079 hypothetical protein					MF599468.1_00065 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000139	OG0000192	n0				AF303741.1_00174 hypothetical protein								HF920637.1_00136 HF920637.1 - hypothetical protein translation, HF920637.1_00133 HF920637.1 - hypothetical protein translation, HF920637.1_00142 HF920637.1 - hypothetical protein translation							MF599468.1_00016 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000140	OG0000193	n0				AF303741.1_00177 hypothetical protein							HF920633.1_00035 hypothetical protein	HF920637.1_00035 HF920637.1 - hypothetical protein translation		KF938901.1_00010 hypothetical protein				LS484712.1_00163 hypothetical protein																																																						
N44.HOG0000141	OG0000194	n0				AF303741.1_00184 hypothetical protein							HF920633.1_00029 hypothetical protein	HF920637.1_00009 HF920637.1 - hypothetical protein translation		KF938901.1_00008 hypothetical protein				LS484712.1_00120 hypothetical protein																																																						
N44.HOG0000142	OG0000195	n0				AF303741.1_00193 hypothetical protein							HF920633.1_00121 hypothetical protein	HF920637.1_00149 HF920637.1 - hypothetical protein translation		KF938901.1_00113 hypothetical protein				LS484712.1_00106 hypothetical protein																																																						
N44.HOG0000143	OG0000196	n0				AF303741.1_00197 hypothetical protein							HF920633.1_00125 hypothetical protein	HF920637.1_00005 HF920637.1 - hypothetical protein translation		KF938901.1_00148 hypothetical protein					MF599468.1_00125 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000144	OG0000197	n0							AY521625.1_00066 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00021 hypothetical protein		MF599468.1_00006 MF599468.1 - hypothetical protein translation										MN803438.1_00044 hypothetical protein																							NC_005946.1_00062 hypothetical protein																				
N44.HOG0000145	OG0000198	n0							AY521625.1_00108 AY521625.1 - hypothetical protein translation, AY521625.1_00106 AY521625.1 - hypothetical protein translation, AY521625.1_00107 AY521625.1 - hypothetical protein translation, AY521625.1_00076 AY521625.1 - hypothetical protein translation, AY521625.1_00109 AY521625.1 - hypothetical protein translation																																																																	
N44.HOG0000146	OG0000199	n0							AY521625.1_00097 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00064 hypothetical protein, Lymph_LDV3_KX643370_00014 hypothetical protein, Lymph_LDV3_KX643370_00128 hypothetical protein												MN803438.1_00121 hypothetical protein																																											
N44.HOG0000147	OG0000200	n0											HF920633.1_00139 hypothetical protein	HF920637.1_00024 HF920637.1 - hypothetical protein translation		KF938901.1_00137 hypothetical protein			Lymph_LDV3_KX643370_00020 hypothetical protein												MN803438.1_00045 hypothetical protein																																											
N44.HOG0000148	OG0000201	n0																	Lymph_LDV3_KX643370_00114 hypothetical protein											OM037668.1_00088 hypothetical protein	MN803438.1_00130 hypothetical protein			OM037668.1_00088 hypothetical protein																										OM037668.1_00088 hypothetical protein														
N44.HOG0000149	OG0000202	n0				AF303741.1_00008 hypothetical protein							HF920633.1_00101 hypothetical protein	HF920637.1_00215 HF920637.1 - hypothetical protein translation						LS484712.1_00052 hypothetical protein																																																						
N44.HOG0000150	OG0000203	n0				AF303741.1_00012 hypothetical protein								HF920637.1_00177 HF920637.1 - hypothetical protein translation, HF920637.1_00065 HF920637.1 - hypothetical protein translation, HF920637.1_00115 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000151	OG0000204	n0				AF303741.1_00018 hypothetical protein							HF920633.1_00008 hypothetical protein	HF920637.1_00211 HF920637.1 - hypothetical protein translation		KF938901.1_00130 hypothetical protein																																																										
N44.HOG0000152	OG0000205	n0				AF303741.1_00024 hypothetical protein								HF920637.1_00083 HF920637.1 - hypothetical protein translation, HF920637.1_00008 HF920637.1 - hypothetical protein translation, HF920637.1_00200 HF920637.1 - hypothetical protein translation																																																												
N44.HOG0000153	OG0000206	n0				AF303741.1_00042 hypothetical protein							HF920633.1_00063 hypothetical protein	HF920637.1_00188 HF920637.1 - hypothetical protein translation		KF938901.1_00057 hypothetical protein																																																										
N44.HOG0000154	OG0000207	n0				AF303741.1_00044 hypothetical protein							HF920633.1_00160 hypothetical protein	HF920637.1_00187 HF920637.1 - hypothetical protein translation		KF938901.1_00082 hypothetical protein																																																										
N44.HOG0000155	OG0000208	n0				AF303741.1_00064 hypothetical protein							HF920633.1_00061 hypothetical protein	HF920637.1_00074 HF920637.1 - hypothetical protein translation		KF938901.1_00109 hypothetical protein																																																										
N44.HOG0000156	OG0000209	n0				AF303741.1_00074 hypothetical protein							HF920633.1_00018 hypothetical protein			KF938901.1_00029 hypothetical protein				LS484712.1_00233 hypothetical protein																																																						
N44.HOG0000157	OG0000210	n0				AF303741.1_00107 hypothetical protein							HF920633.1_00023 hypothetical protein	HF920637.1_00204 HF920637.1 - hypothetical protein translation		KF938901.1_00098 hypothetical protein																																																										
N44.HOG0000158	OG0000211	n0				AF303741.1_00120 hypothetical protein							HF920633.1_00102 hypothetical protein	HF920637.1_00124 HF920637.1 - hypothetical protein translation		KF938901.1_00136 hypothetical protein																																																										
