HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N34.HOG0000077	OG0000077	n0								GQ273492.1_00081 hypothetical protein				MG570131.1_00081 hypothetical protein	MG570132.1_00081 hypothetical protein																																																		PQ335173_PQ335174_00062 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000078	OG0000078	n0								ORF78R_refgen ORF78R				MG570131.1_00082 hypothetical protein	MG570132.1_00082 hypothetical protein																																																		TSIV_ORF50 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000079	OG0000079	n0								GQ273492.1_00095 hypothetical protein				MG570131.1_00095 hypothetical protein	MG570132.1_00095 hypothetical protein																																																		PQ335173_PQ335174_00034 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000080	OG0000080	n0								GQ273492.1_00097 hypothetical protein				MG570131.1_00097 hypothetical protein	MG570132.1_00097 hypothetical protein																																																		PQ335173_PQ335174_00036 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000081	OG0000081	n0								GQ273492.1_00099 hypothetical protein				MG570131.1_00099 hypothetical protein	MG570132.1_00099 hypothetical protein																																																		PQ335173_PQ335174_00037 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000082	OG0000082	n0												MG570131.1_00115 hypothetical protein	MG570132.1_00115 hypothetical protein																																																		PQ335173_PQ335174_00032 PQ335173_PQ335174 - hypothetical protein translation, PQ335173_PQ335174_00033 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000083	OG0000083	n0								GQ273492.1_00090 hypothetical protein				MG570131.1_00090 hypothetical protein	MG570132.1_00090 hypothetical protein																																																		
N34.HOG0000084	OG0000084	n0								GQ273492.1_00066 hypothetical protein				MG570131.1_00066 hypothetical protein	MG570132.1_00066 hypothetical protein																																																		PQ335173_PQ335174_00074 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000085	OG0000085	n0								RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase				MG570131.1_00065 hypothetical protein	MG570132.1_00065 hypothetical protein																																																		
N34.HOG0000086	OG0000086	n0								GQ273492.1_00003 hypothetical protein				MG570131.1_00003 hypothetical protein	MG570132.1_00003 hypothetical protein																																																		
N34.HOG0000087	OG0000087	n0								GQ273492.1_00037 hypothetical protein				MG570131.1_00038 hypothetical protein	MG570132.1_00038 hypothetical protein																																																		PQ335173_PQ335174_00102 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000088	OG0000088	n0												MG570131.1_00043 hypothetical protein	MG570132.1_00043 hypothetical protein																																																		PQ335173_PQ335174_00097 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000089	OG0000089	n0								GQ273492.1_00052 hypothetical protein				MG570131.1_00053 hypothetical protein	MG570132.1_00053 hypothetical protein																																																		
N34.HOG0000090	OG0000090	n0								GQ273492.1_00068 hypothetical protein				MG570131.1_00068 hypothetical protein	MG570132.1_00068 hypothetical protein																																																		PQ335173_PQ335174_00072 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000091	OG0000091	n0								GQ273492.1_00070 hypothetical protein				MG570131.1_00070 hypothetical protein	MG570132.1_00070 hypothetical protein																																																		PQ335173_PQ335174_00070 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000092	OG0000092	n0								GQ273492.1_00071 hypothetical protein				MG570131.1_00071 hypothetical protein	MG570132.1_00071 hypothetical protein																																																		
N34.HOG0000093	OG0000093	n0								GQ273492.1_00072 hypothetical protein				MG570131.1_00072 hypothetical protein	MG570132.1_00072 hypothetical protein																																																		
N34.HOG0000094	OG0000094	n0								GQ273492.1_00076 hypothetical protein				MG570131.1_00076 hypothetical protein	MG570132.1_00076 hypothetical protein																																																		
N34.HOG0000095	OG0000095	n0								GQ273492.1_00098 hypothetical protein				MG570131.1_00098 hypothetical protein	MG570132.1_00098 hypothetical protein																																																		
N34.HOG0000096	OG0000096	n0								GQ273492.1_00100 hypothetical protein				MG570131.1_00100 hypothetical protein	MG570132.1_00100 hypothetical protein																																																		
N34.HOG0000097	OG0000097	n0								ORF100R_refgen ORF100R				MG570131.1_00104 hypothetical protein	MG570132.1_00104 hypothetical protein																																																		
N34.HOG0000098	OG0000098	n0								GQ273492.1_00105 hypothetical protein				MG570131.1_00105 hypothetical protein	MG570132.1_00105 hypothetical protein																																																		PQ335173_PQ335174_00040 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000099	OG0000099	n0								GQ273492.1_00113 hypothetical protein				MG570131.1_00113 hypothetical protein	MG570132.1_00113 hypothetical protein																																																		
N34.HOG0000100	OG0000100	n0								GQ273492.1_00101 hypothetical protein				MG570131.1_00101 hypothetical protein	MG570132.1_00101 hypothetical protein																																																		
N34.HOG0000101	OG0000101	n0								GQ273492.1_00004 hypothetical protein				MG570131.1_00004 hypothetical protein	MG570132.1_00004 hypothetical protein																																																		
N34.HOG0000102	OG0000102	n0								GQ273492.1_00028 hypothetical protein				MG570131.1_00029 hypothetical protein	MG570132.1_00029 hypothetical protein																																																		
N34.HOG0000103	OG0000103	n0								GQ273492.1_00034 hypothetical protein				MG570131.1_00035 hypothetical protein	MG570132.1_00035 hypothetical protein																																																		
N34.HOG0000104	OG0000104	n0								GQ273492.1_00039 hypothetical protein				MG570131.1_00040 hypothetical protein	MG570132.1_00040 hypothetical protein																																																		
N34.HOG0000105	OG0000105	n0								GQ273492.1_00102 hypothetical protein				MG570131.1_00102 hypothetical protein	MG570132.1_00102 hypothetical protein																																																		
N34.HOG0000106	OG0000106	n0								GQ273492.1_00038 hypothetical protein				MG570131.1_00039 hypothetical protein	MG570132.1_00039 hypothetical protein																																																		PQ335173_PQ335174_00101 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000107	OG0000107	n0								GQ273492.1_00061 hypothetical protein				MG570131.1_00061 hypothetical protein	MG570132.1_00061 hypothetical protein				MK637631_00089 hypothetical protein				OM037668.1_00095 hypothetical protein			OM037668.1_00095 hypothetical protein																									OM037668.1_00095 hypothetical protein														PQ335173_PQ335174_00080 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000108	OG0000108	n0												MG570131.1_00069 hypothetical protein	MG570132.1_00069 hypothetical protein																																																		
N34.HOG0000109	OG0000109	n0								GQ273492.1_00117 hypothetical protein				MG570131.1_00117 hypothetical protein	MG570132.1_00117 hypothetical protein																																																		PQ335173_PQ335174_00029 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000110	OG0000111	n0								GQ273492.1_00111 hypothetical protein				MG570131.1_00111 hypothetical protein	MG570132.1_00111 hypothetical protein																																																		TSIV_ORF39 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000111	OG0000113	n0													MG570132.1_00022 hypothetical protein																																																		PQ335173_PQ335174_00004 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000112	OG0000114	n0								GQ273492.1_00059 hypothetical protein				MG570131.1_00059 hypothetical protein	MG570132.1_00059 hypothetical protein				MK637631_00057 hypothetical protein				OM037668.1_00085 hypothetical protein			OM037668.1_00085 hypothetical protein																									OM037668.1_00085 hypothetical protein														PQ335173_PQ335174_00082 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000113	OG0000115	n0								GQ273492.1_00016 hypothetical protein				MG570131.1_00017 hypothetical protein	MG570132.1_00017 hypothetical protein																																																		PQ335173_PQ335174_00009 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000114	OG0000116	n0												MG570131.1_00012 hypothetical protein	MG570132.1_00012 hypothetical protein				MK637631_00027 hypothetical protein				OM037668.1_00053 hypothetical protein			OM037668.1_00053 hypothetical protein																									OM037668.1_00053 hypothetical protein														PQ335173_PQ335174_00014 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000115	OG0000117	n0												MG570131.1_00054 hypothetical protein	MG570132.1_00054 hypothetical protein				MK637631_00083 hypothetical protein				OM037668.1_00101 hypothetical protein			OM037668.1_00101 hypothetical protein																									OM037668.1_00101 hypothetical protein														PQ335173_PQ335174_00087 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000116	OG0000118	n0								laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein				MG570131.1_00026 hypothetical protein	MG570132.1_00026 hypothetical protein																																																		TSIV_ORF1 PQ335173_PQ335174 - ORF1 gene translation
N34.HOG0000117	OG0000119	n0																	MK637631_00058 hypothetical protein				OM037668.1_00062 hypothetical protein			OM037668.1_00062 hypothetical protein																									OM037668.1_00062 hypothetical protein														
N34.HOG0000118	OG0000120	n0								GQ273492.1_00077 hypothetical protein				MG570131.1_00077 hypothetical protein	MG570132.1_00077 hypothetical protein				MK637631_00107 hypothetical protein																																														
N34.HOG0000119	OG0000121	n0								GQ273492.1_00058 hypothetical protein																																																							
N34.HOG0000120	OG0000122	n0								ORF50R_refgen ORF50R																																																							
N34.HOG0000121	OG0000123	n0								GQ273492.1_00109 hypothetical protein				MG570131.1_00109 hypothetical protein	MG570132.1_00109 hypothetical protein																																																		
N34.HOG0000122	OG0000125	n0																					OM037668.1_00002 hypothetical protein, OM037668.1_00006 hypothetical protein, OM037668.1_00125 hypothetical protein			OM037668.1_00002 hypothetical protein, OM037668.1_00006 hypothetical protein, OM037668.1_00125 hypothetical protein																									OM037668.1_00002 hypothetical protein, OM037668.1_00006 hypothetical protein, OM037668.1_00125 hypothetical protein														
N34.HOG0000123	OG0000126	n0																					OM037668.1_00066 hypothetical protein, OM037668.1_00131 hypothetical protein, OM037668.1_00132 hypothetical protein			OM037668.1_00066 hypothetical protein, OM037668.1_00131 hypothetical protein, OM037668.1_00132 hypothetical protein																									OM037668.1_00066 hypothetical protein, OM037668.1_00131 hypothetical protein, OM037668.1_00132 hypothetical protein														
N34.HOG0000124	OG0000127	n0																	MK637631_00063 Serine proteinase inhibitor 2, MK637631_00034 Serine proteinase inhibitor 1				OM037668.1_00071 Serine proteinase inhibitor 2, OM037668.1_00015 Serine proteinase inhibitor 1			OM037668.1_00071 Serine proteinase inhibitor 2, OM037668.1_00015 Serine proteinase inhibitor 1																									OM037668.1_00071 Serine proteinase inhibitor 2, OM037668.1_00015 Serine proteinase inhibitor 1														
N34.HOG0000125	OG0000128	n0																	MK637631_00013 hypothetical protein				OM037668.1_00092 hypothetical protein, OM037668.1_00093 hypothetical protein			OM037668.1_00092 hypothetical protein, OM037668.1_00093 hypothetical protein																									OM037668.1_00092 hypothetical protein, OM037668.1_00093 hypothetical protein														
N34.HOG0000126	OG0000129	n0																	MK637631_00041 hypothetical protein				OM037668.1_00128 hypothetical protein, OM037668.1_00121 hypothetical protein			OM037668.1_00128 hypothetical protein, OM037668.1_00121 hypothetical protein																									OM037668.1_00128 hypothetical protein, OM037668.1_00121 hypothetical protein														
N34.HOG0000127	OG0000130	n0																	MK637631_00051 hypothetical protein, MK637631_00109 hypothetical protein, MK637631_00113 hypothetical protein				OM037668.1_00133 hypothetical protein			OM037668.1_00133 hypothetical protein																									OM037668.1_00133 hypothetical protein														
N34.HOG0000128	OG0000131	n0																					OM037668.1_00067 hypothetical protein, OM037668.1_00126 hypothetical protein			OM037668.1_00067 hypothetical protein, OM037668.1_00126 hypothetical protein																									OM037668.1_00067 hypothetical protein, OM037668.1_00126 hypothetical protein														
N34.HOG0000129	OG0000132	n0																	MK637631_00014 hypothetical protein, MK637631_00090 hypothetical protein				OM037668.1_00094 hypothetical protein			OM037668.1_00094 hypothetical protein																									OM037668.1_00094 hypothetical protein														
N34.HOG0000130	OG0000134	n0																	MK637631_00003 hypothetical protein				OM037668.1_00029 hypothetical protein			OM037668.1_00029 hypothetical protein																									OM037668.1_00029 hypothetical protein														
N34.HOG0000131	OG0000135	n0																	MK637631_00005 hypothetical protein				OM037668.1_00025 hypothetical protein			OM037668.1_00025 hypothetical protein																									OM037668.1_00025 hypothetical protein														
N34.HOG0000132	OG0000136	n0																	MK637631_00007 Thymidylate kinase				OM037668.1_00023 hypothetical protein			OM037668.1_00023 hypothetical protein																									OM037668.1_00023 hypothetical protein														
N34.HOG0000133	OG0000137	n0																	MK637631_00015 hypothetical protein				OM037668.1_00039 hypothetical protein			OM037668.1_00039 hypothetical protein																									OM037668.1_00039 hypothetical protein														
N34.HOG0000134	OG0000138	n0																	MK637631_00019 hypothetical protein				OM037668.1_00044 hypothetical protein			OM037668.1_00044 hypothetical protein																									OM037668.1_00044 hypothetical protein														
N34.HOG0000135	OG0000139	n0																	MK637631_00026 hypothetical protein				OM037668.1_00055 hypothetical protein			OM037668.1_00055 hypothetical protein																									OM037668.1_00055 hypothetical protein														
N34.HOG0000136	OG0000140	n0																	MK637631_00028 hypothetical protein				OM037668.1_00052 hypothetical protein			OM037668.1_00052 hypothetical protein																									OM037668.1_00052 hypothetical protein														
N34.HOG0000137	OG0000141	n0																	MK637631_00031 hypothetical protein				OM037668.1_00049 hypothetical protein			OM037668.1_00049 hypothetical protein																									OM037668.1_00049 hypothetical protein														
N34.HOG0000138	OG0000142	n0																	MK637631_00035 hypothetical protein				OM037668.1_00036 hypothetical protein			OM037668.1_00036 hypothetical protein																									OM037668.1_00036 hypothetical protein														
N34.HOG0000139	OG0000143	n0																	MK637631_00038 hypothetical protein				OM037668.1_00022 hypothetical protein			OM037668.1_00022 hypothetical protein																									OM037668.1_00022 hypothetical protein														
N34.HOG0000140	OG0000144	n0																	MK637631_00040 hypothetical protein				OM037668.1_00063 hypothetical protein			OM037668.1_00063 hypothetical protein																									OM037668.1_00063 hypothetical protein														
N34.HOG0000141	OG0000145	n0																	MK637631_00050 hypothetical protein				OM037668.1_00007 hypothetical protein			OM037668.1_00007 hypothetical protein																									OM037668.1_00007 hypothetical protein														
N34.HOG0000142	OG0000146	n0																	MK637631_00060 hypothetical protein				OM037668.1_00069 hypothetical protein			OM037668.1_00069 hypothetical protein																									OM037668.1_00069 hypothetical protein														
N34.HOG0000143	OG0000147	n0																	MK637631_00061 hypothetical protein				OM037668.1_00026 hypothetical protein			OM037668.1_00026 hypothetical protein																									OM037668.1_00026 hypothetical protein														
N34.HOG0000144	OG0000148	n0																	MK637631_00065 hypothetical protein							OM037668.1_00008 hypothetical protein																									OM037668.1_00008 hypothetical protein														PQ335173_PQ335174_00077 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000145	OG0000149	n0																	MK637631_00069 hypothetical protein				OM037668.1_00012 hypothetical protein			OM037668.1_00012 hypothetical protein																									OM037668.1_00012 hypothetical protein														
N34.HOG0000146	OG0000150	n0																	MK637631_00073 hypothetical protein				OM037668.1_00114 hypothetical protein			OM037668.1_00114 hypothetical protein																									OM037668.1_00114 hypothetical protein														
N34.HOG0000147	OG0000151	n0																	MK637631_00075 hypothetical protein				OM037668.1_00112 hypothetical protein			OM037668.1_00112 hypothetical protein																									OM037668.1_00112 hypothetical protein														
N34.HOG0000148	OG0000152	n0																	MK637631_00076 hypothetical protein				OM037668.1_00111 hypothetical protein			OM037668.1_00111 hypothetical protein																									OM037668.1_00111 hypothetical protein														
N34.HOG0000149	OG0000153	n0																	MK637631_00081 hypothetical protein				OM037668.1_00103 hypothetical protein			OM037668.1_00103 hypothetical protein																									OM037668.1_00103 hypothetical protein														
N34.HOG0000150	OG0000154	n0																	MK637631_00082 hypothetical protein				OM037668.1_00102 hypothetical protein			OM037668.1_00102 hypothetical protein																									OM037668.1_00102 hypothetical protein														
N34.HOG0000151	OG0000155	n0																	MK637631_00092 hypothetical protein				OM037668.1_00058 hypothetical protein			OM037668.1_00058 hypothetical protein																									OM037668.1_00058 hypothetical protein														
N34.HOG0000152	OG0000156	n0																	MK637631_00098 hypothetical protein				OM037668.1_00072 hypothetical protein			OM037668.1_00072 hypothetical protein																									OM037668.1_00072 hypothetical protein														
N34.HOG0000153	OG0000157	n0																	MK637631_00116 hypothetical protein				OM037668.1_00034 hypothetical protein			OM037668.1_00034 hypothetical protein																									OM037668.1_00034 hypothetical protein														
N34.HOG0000154	OG0000158	-																	MK637631_00072 hypothetical protein				OM037668.1_00115 hypothetical protein																												OM037668.1_00115 hypothetical protein														
N34.HOG0000155	OG0000159	-																					OM037668.1_00001 hypothetical protein			OM037668.1_00001 hypothetical protein																									OM037668.1_00001 hypothetical protein														
N34.HOG0000156	OG0000160	-																					OM037668.1_00014 hypothetical protein			OM037668.1_00014 hypothetical protein																									OM037668.1_00014 hypothetical protein														
N34.HOG0000157	OG0000161	-																					OM037668.1_00017 Golgi anti-apoptotic protein			OM037668.1_00017 Golgi anti-apoptotic protein																									OM037668.1_00017 Golgi anti-apoptotic protein														
N34.HOG0000158	OG0000162	-																					OM037668.1_00027 hypothetical protein			OM037668.1_00027 hypothetical protein																									OM037668.1_00027 hypothetical protein														
N34.HOG0000159	OG0000163	-																					OM037668.1_00037 hypothetical protein			OM037668.1_00037 hypothetical protein																									OM037668.1_00037 hypothetical protein														
N34.HOG0000160	OG0000164	-																					OM037668.1_00060 hypothetical protein			OM037668.1_00060 hypothetical protein																									OM037668.1_00060 hypothetical protein														
N34.HOG0000161	OG0000165	-																					OM037668.1_00061 hypothetical protein			OM037668.1_00061 hypothetical protein																									OM037668.1_00061 hypothetical protein														
N34.HOG0000162	OG0000166	-																					OM037668.1_00065 hypothetical protein			OM037668.1_00065 hypothetical protein																									OM037668.1_00065 hypothetical protein														
N34.HOG0000163	OG0000167	-																					OM037668.1_00068 Thymidylate synthase			OM037668.1_00068 Thymidylate synthase																									OM037668.1_00068 Thymidylate synthase														
N34.HOG0000164	OG0000168	-																					OM037668.1_00070 hypothetical protein			OM037668.1_00070 hypothetical protein																									OM037668.1_00070 hypothetical protein														
N34.HOG0000165	OG0000169	-																					OM037668.1_00088 hypothetical protein			OM037668.1_00088 hypothetical protein																									OM037668.1_00088 hypothetical protein														
N34.HOG0000166	OG0000170	-																					OM037668.1_00104 hypothetical protein			OM037668.1_00104 hypothetical protein																									OM037668.1_00104 hypothetical protein														
N34.HOG0000167	OG0000171	-																					OM037668.1_00107 hypothetical protein			OM037668.1_00107 hypothetical protein																									OM037668.1_00107 hypothetical protein														
N34.HOG0000168	OG0000172	-																					OM037668.1_00108 hypothetical protein			OM037668.1_00108 hypothetical protein																									OM037668.1_00108 hypothetical protein														
N34.HOG0000169	OG0000173	-																					OM037668.1_00109 hypothetical protein			OM037668.1_00109 hypothetical protein																									OM037668.1_00109 hypothetical protein														
N34.HOG0000170	OG0000174	-																					OM037668.1_00116 hypothetical protein			OM037668.1_00116 hypothetical protein																									OM037668.1_00116 hypothetical protein														
N34.HOG0000171	OG0000175	-																					OM037668.1_00117 hypothetical protein			OM037668.1_00117 hypothetical protein																									OM037668.1_00117 hypothetical protein														
N34.HOG0000172	OG0000176	-																					OM037668.1_00118 hypothetical protein			OM037668.1_00118 hypothetical protein																									OM037668.1_00118 hypothetical protein														
N34.HOG0000173	OG0000177	-																					OM037668.1_00119 hypothetical protein			OM037668.1_00119 hypothetical protein																									OM037668.1_00119 hypothetical protein														
N34.HOG0000174	OG0000178	-																					OM037668.1_00120 hypothetical protein			OM037668.1_00120 hypothetical protein																									OM037668.1_00120 hypothetical protein														
N34.HOG0000175	OG0000179	-																					OM037668.1_00129 hypothetical protein			OM037668.1_00129 hypothetical protein																									OM037668.1_00129 hypothetical protein														
N34.HOG0000176	OG0000180	-																					SDDV_ORF016 mRNA decay activator protein			SDDV_ORF016 mRNA decay activator protein																									SDDV_ORF016 mRNA decay activator protein														
N34.HOG0000177	OG0000183	-																	MK637631_00009 hypothetical protein, MK637631_00023 hypothetical protein																																														
N34.HOG0000178	OG0000185	-																																																															PQ335173_PQ335174_00069 PQ335173_PQ335174 - hypothetical protein translation, PQ335173_PQ335174_00071 PQ335173_PQ335174 - hypothetical protein translation
