Orthogroup	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MT128666	MT128667	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	occupancy	num_values_present
OG0000059	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	GQ273492.1_00087 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	MG570131.1_00087 hypothetical protein	MG570132.1_00087 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	100	3
OG0000060	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	GQ273492.1_00091 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	MG570131.1_00091 hypothetical protein	MG570132.1_00091 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	100	3
OG0000061	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	GQ273492.1_00092 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	MG570131.1_00092 hypothetical protein	MG570132.1_00092 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	AF371960.1_00096 hypothetical protein	100	3
OG0000062	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	GQ273492.1_00093 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	MG570131.1_00093 hypothetical protein	MG570132.1_00093 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	MK689686.1_00094 hypothetical protein	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	OQ475017.1_00094 OQ475017.1 - hypothetical protein translation	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	AF371960.1_00097 hypothetical protein	100	3
OG0000063	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	MK689686.1_00095 hypothetical protein	AF371960.1_00098 hypothetical protein	MK689686.1_00095 hypothetical protein	MK689686.1_00095 hypothetical protein	MK689686.1_00095 hypothetical protein	GQ273492.1_00094 hypothetical protein	MK689686.1_00095 hypothetical protein	AF371960.1_00098 hypothetical protein	MK689686.1_00095 hypothetical protein	MG570131.1_00094 hypothetical protein	MG570132.1_00094 hypothetical protein	MK689686.1_00095 hypothetical protein	MK689686.1_00095 hypothetical protein	MK689686.1_00095 hypothetical protein	AF371960.1_00098 hypothetical protein	MK689686.1_00095 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	MK689686.1_00095 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	MK689686.1_00095 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	MK689686.1_00095 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	MK689686.1_00095 hypothetical protein	MK689686.1_00095 hypothetical protein	MK689686.1_00095 hypothetical protein	MK689686.1_00095 hypothetical protein	MK689686.1_00095 hypothetical protein	MK689686.1_00095 hypothetical protein	AF371960.1_00098 hypothetical protein	MK689686.1_00095 hypothetical protein	MK689686.1_00095 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	OQ475017.1_00095 OQ475017.1 - hypothetical protein translation	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	AF371960.1_00098 hypothetical protein	100	3
OG0000064	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	GQ273492.1_00095 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	MG570131.1_00095 hypothetical protein	MG570132.1_00095 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	OQ475017.1_00096 OQ475017.1 - hypothetical protein translation	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	100	3
OG0000065	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	GQ273492.1_00096 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	MG570131.1_00096 hypothetical protein	MG570132.1_00096 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	MK689686.1_00097 hypothetical protein	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	OQ475017.1_00097 OQ475017.1 - hypothetical protein translation	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	AF371960.1_00100 hypothetical protein	100	3
OG0000066	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	GQ273492.1_00097 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	MG570131.1_00097 hypothetical protein	MG570132.1_00097 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	OQ475017.1_00098 OQ475017.1 - hypothetical protein translation	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	100	3
OG0000067	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	GQ273492.1_00098 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	MG570131.1_00098 hypothetical protein	MG570132.1_00098 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	OQ475017.1_00099 OQ475017.1 - hypothetical protein translation	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	100	3
OG0000068	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	GQ273492.1_00099 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	MG570131.1_00099 hypothetical protein	MG570132.1_00099 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	OQ475017.1_00100 OQ475017.1 - hypothetical protein translation	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	100	3
OG0000069	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	GQ273492.1_00100 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	MG570131.1_00100 hypothetical protein	MG570132.1_00100 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	OQ475017.1_00101 OQ475017.1 - hypothetical protein translation	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	100	3
OG0000070	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	GQ273492.1_00103 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	MG570131.1_00103 hypothetical protein	MG570132.1_00103 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	100	3
