	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
ON740976	115.0	113.0	120.0	115.0	120.0	115.0	120.0	111.0	118.0	116.0	120.0	114.0	115.0	120.0	120.0	120.0	63.0	117.0	119.0	114.0	64.0	114.0	113.0	65.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	120.0	120.0	117.0	119.0	119.0	65.0	120.0	115.0	0.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	90.0
ON743042	112.0	110.0	117.0	112.0	117.0	112.0	117.0	108.0	116.0	113.0	117.0	111.0	112.0	117.0	117.0	117.0	62.0	114.0	116.0	112.0	63.0	111.0	110.0	64.0	113.0	113.0	114.0	117.0	113.0	113.0	113.0	112.0	113.0	113.0	113.0	117.0	113.0	113.0	113.0	112.0	112.0	113.0	113.0	117.0	117.0	114.0	117.0	116.0	64.0	117.0	113.0	117.0	0.0	114.0	112.0	111.0	109.0	112.0	110.0	113.0	112.0	112.0	87.0
OP009387	119.0	116.0	118.0	118.0	118.0	114.0	118.0	110.0	115.0	119.0	117.0	115.0	116.0	117.0	118.0	117.0	65.0	120.0	116.0	118.0	66.0	117.0	116.0	67.0	116.0	119.0	119.0	116.0	117.0	119.0	118.0	117.0	119.0	118.0	118.0	116.0	119.0	118.0	118.0	117.0	118.0	118.0	119.0	118.0	117.0	114.0	116.0	116.0	67.0	117.0	118.0	117.0	114.0	0.0	118.0	113.0	115.0	118.0	115.0	117.0	119.0	117.0	92.0
OP896201	120.0	117.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	64.0	120.0	114.0	116.0	66.0	119.0	118.0	67.0	114.0	119.0	117.0	114.0	118.0	120.0	119.0	118.0	117.0	119.0	119.0	114.0	120.0	119.0	119.0	119.0	119.0	119.0	120.0	116.0	115.0	112.0	114.0	114.0	67.0	115.0	119.0	115.0	112.0	118.0	0.0	112.0	116.0	120.0	117.0	118.0	119.0	116.0	92.0
OQ475017	112.0	110.0	114.0	113.0	114.0	109.0	114.0	107.0	111.0	113.0	113.0	113.0	114.0	113.0	114.0	113.0	64.0	113.0	112.0	113.0	64.0	111.0	110.0	65.0	110.0	112.0	113.0	113.0	113.0	113.0	113.0	112.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	112.0	112.0	113.0	113.0	114.0	113.0	110.0	113.0	112.0	65.0	113.0	113.0	113.0	111.0	113.0	112.0	0.0	109.0	112.0	110.0	113.0	112.0	111.0	89.0
OQ513807	116.0	113.0	113.0	117.0	113.0	108.0	113.0	106.0	110.0	117.0	112.0	111.0	112.0	112.0	113.0	112.0	63.0	117.0	111.0	113.0	65.0	115.0	114.0	66.0	111.0	116.0	114.0	111.0	115.0	117.0	116.0	114.0	114.0	116.0	116.0	111.0	117.0	116.0	116.0	115.0	116.0	116.0	118.0	113.0	112.0	109.0	111.0	111.0	66.0	112.0	116.0	112.0	109.0	115.0	116.0	109.0	0.0	116.0	113.0	116.0	115.0	113.0	90.0
OR356116	120.0	117.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	64.0	120.0	114.0	116.0	66.0	119.0	118.0	67.0	114.0	119.0	117.0	114.0	118.0	120.0	119.0	118.0	117.0	119.0	119.0	114.0	120.0	119.0	119.0	119.0	119.0	119.0	120.0	116.0	115.0	112.0	114.0	114.0	67.0	115.0	119.0	115.0	112.0	118.0	120.0	112.0	116.0	0.0	117.0	118.0	119.0	116.0	92.0
OR536350	117.0	114.0	114.0	116.0	114.0	110.0	114.0	107.0	111.0	117.0	113.0	112.0	113.0	113.0	114.0	113.0	63.0	117.0	112.0	113.0	65.0	117.0	117.0	66.0	112.0	117.0	114.0	112.0	116.0	117.0	116.0	115.0	114.0	116.0	116.0	112.0	117.0	116.0	116.0	116.0	116.0	116.0	117.0	114.0	113.0	110.0	112.0	112.0	66.0	113.0	116.0	113.0	110.0	115.0	117.0	110.0	113.0	117.0	0.0	116.0	116.0	113.0	90.0
OR670976	118.0	115.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	119.0	115.0	114.0	115.0	115.0	116.0	115.0	64.0	119.0	114.0	116.0	66.0	117.0	116.0	67.0	115.0	118.0	117.0	115.0	119.0	119.0	119.0	117.0	117.0	119.0	119.0	115.0	119.0	119.0	119.0	118.0	118.0	119.0	120.0	116.0	115.0	112.0	115.0	114.0	67.0	115.0	119.0	115.0	113.0	117.0	118.0	113.0	116.0	118.0	116.0	0.0	117.0	116.0	92.0
PP151097	119.0	116.0	116.0	118.0	116.0	112.0	116.0	109.0	113.0	119.0	115.0	114.0	115.0	115.0	116.0	115.0	64.0	119.0	114.0	117.0	65.0	118.0	117.0	66.0	114.0	118.0	117.0	114.0	117.0	119.0	118.0	117.0	118.0	118.0	118.0	114.0	119.0	118.0	118.0	118.0	118.0	118.0	119.0	116.0	115.0	112.0	114.0	114.0	66.0	115.0	118.0	115.0	112.0	119.0	119.0	112.0	115.0	119.0	116.0	117.0	0.0	117.0	91.0
PP974677	116.0	113.0	114.0	116.0	114.0	110.0	114.0	107.0	112.0	117.0	113.0	112.0	113.0	113.0	114.0	113.0	65.0	117.0	112.0	116.0	66.0	115.0	114.0	67.0	113.0	116.0	116.0	113.0	116.0	117.0	117.0	115.0	117.0	117.0	117.0	113.0	117.0	117.0	117.0	116.0	116.0	117.0	117.0	114.0	113.0	110.0	113.0	112.0	67.0	113.0	117.0	113.0	112.0	117.0	116.0	111.0	113.0	116.0	113.0	116.0	117.0	0.0	89.0
PQ335173_PQ335174	92.0	91.0	91.0	92.0	91.0	86.0	91.0	87.0	89.0	93.0	90.0	92.0	93.0	90.0	91.0	90.0	61.0	93.0	89.0	90.0	61.0	91.0	90.0	63.0	89.0	92.0	92.0	89.0	92.0	93.0	92.0	91.0	91.0	92.0	92.0	89.0	93.0	92.0	92.0	91.0	93.0	92.0	93.0	91.0	90.0	89.0	89.0	90.0	63.0	90.0	92.0	90.0	87.0	92.0	92.0	89.0	90.0	92.0	90.0	92.0	91.0	89.0	0.0
