Orthogroup	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174	occupancy
OG0000072	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	GQ273492.1_00046 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MG570131.1_00047 hypothetical protein	MG570132.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	NA	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	NA	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	NA	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	NA	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	OQ475017.1_00046 OQ475017.1 - hypothetical protein translation	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	PQ335173_PQ335174_00093 PQ335173_PQ335174 - hypothetical protein translation	93.65079365079364
OG0000073	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	GQ273492.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MG570131.1_00051 hypothetical protein	MG570132.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	NA	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	NA	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	NA	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	NA	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	OQ475017.1_00050 OQ475017.1 - hypothetical protein translation	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	PQ335173_PQ335174_00089 PQ335173_PQ335174 - hypothetical protein translation	93.65079365079364
OG0000074	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	GQ273492.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	MG570131.1_00052 hypothetical protein	MG570132.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	NA	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	NA	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	NA	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	NA	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	OQ475017.1_00051 OQ475017.1 - hypothetical protein translation	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	PQ335173_PQ335174_00088 PQ335173_PQ335174 - hypothetical protein translation	93.65079365079364
OG0000075	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	MK689686.1_00061 hypothetical protein	AF371960.1_00063 hypothetical protein	MK689686.1_00061 hypothetical protein	MK689686.1_00061 hypothetical protein	MK689686.1_00061 hypothetical protein	GQ273492.1_00062 hypothetical protein	MK689686.1_00061 hypothetical protein	AF371960.1_00063 hypothetical protein	MK689686.1_00061 hypothetical protein	MG570131.1_00062 hypothetical protein	MG570132.1_00062 hypothetical protein	MK689686.1_00061 hypothetical protein	MK689686.1_00061 hypothetical protein	MK689686.1_00061 hypothetical protein	NA	AF371960.1_00063 hypothetical protein	MK689686.1_00061 hypothetical protein	AF371960.1_00063 hypothetical protein	NA	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	NA	MK689686.1_00061 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	MK689686.1_00061 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	MK689686.1_00061 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	MK689686.1_00061 hypothetical protein	MK689686.1_00061 hypothetical protein	MK689686.1_00061 hypothetical protein	MK689686.1_00061 hypothetical protein	MK689686.1_00061 hypothetical protein	NA	MK689686.1_00061 hypothetical protein	AF371960.1_00063 hypothetical protein	MK689686.1_00061 hypothetical protein	MK689686.1_00061 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	OQ475017.1_00061 OQ475017.1 - hypothetical protein translation	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	AF371960.1_00063 hypothetical protein	PQ335173_PQ335174_00079 PQ335173_PQ335174 - hypothetical protein translation	93.65079365079364
OG0000076	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	MK689686.1_00067 hypothetical protein	AF371960.1_00069 hypothetical protein	MK689686.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	GQ273492.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	MG570131.1_00067 hypothetical protein	MG570132.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	NA	AF371960.1_00069 hypothetical protein	MK689686.1_00067 hypothetical protein	AF371960.1_00069 hypothetical protein	NA	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	NA	MK689686.1_00067 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	MK689686.1_00067 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	MK689686.1_00067 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	MK689686.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	NA	MK689686.1_00067 hypothetical protein	AF371960.1_00069 hypothetical protein	MK689686.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	OQ475017.1_00066 OQ475017.1 - hypothetical protein translation	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	AF371960.1_00069 hypothetical protein	PQ335173_PQ335174_00073 PQ335173_PQ335174 - hypothetical protein translation	93.65079365079364
OG0000077	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	MK689686.1_00082 hypothetical protein	AF371960.1_00086 hypothetical protein	MK689686.1_00082 hypothetical protein	MK689686.1_00082 hypothetical protein	MK689686.1_00082 hypothetical protein	GQ273492.1_00081 hypothetical protein	MK689686.1_00082 hypothetical protein	AF371960.1_00086 hypothetical protein	MK689686.1_00082 hypothetical protein	MG570131.1_00081 hypothetical protein	MG570132.1_00081 hypothetical protein	MK689686.1_00082 hypothetical protein	MK689686.1_00082 hypothetical protein	MK689686.1_00082 hypothetical protein	NA	AF371960.1_00086 hypothetical protein	MK689686.1_00082 hypothetical protein	AF371960.1_00086 hypothetical protein	NA	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	NA	MK689686.1_00082 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	MK689686.1_00082 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	MK689686.1_00082 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	MK689686.1_00082 hypothetical protein	MK689686.1_00082 hypothetical protein	MK689686.1_00082 hypothetical protein	MK689686.1_00082 hypothetical protein	MK689686.1_00082 hypothetical protein	NA	MK689686.1_00082 hypothetical protein	AF371960.1_00086 hypothetical protein	MK689686.1_00082 hypothetical protein	MK689686.1_00082 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	OQ475017.1_00081 OQ475017.1 - hypothetical protein translation	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	AF371960.1_00086 hypothetical protein	PQ335173_PQ335174_00062 PQ335173_PQ335174 - hypothetical protein translation	93.65079365079364
OG0000078	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	MK689686.1_00083 hypothetical protein	AF371960.1_00087 hypothetical protein	MK689686.1_00083 hypothetical protein	MK689686.1_00083 hypothetical protein	MK689686.1_00083 hypothetical protein	ORF78R_refgen ORF78R	MK689686.1_00083 hypothetical protein	AF371960.1_00087 hypothetical protein	MK689686.1_00083 hypothetical protein	MG570131.1_00082 hypothetical protein	MG570132.1_00082 hypothetical protein	MK689686.1_00083 hypothetical protein	MK689686.1_00083 hypothetical protein	MK689686.1_00083 hypothetical protein	NA	AF371960.1_00087 hypothetical protein	MK689686.1_00083 hypothetical protein	AF371960.1_00087 hypothetical protein	NA	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	NA	MK689686.1_00083 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	MK689686.1_00083 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	MK689686.1_00083 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	MK689686.1_00083 hypothetical protein	MK689686.1_00083 hypothetical protein	MK689686.1_00083 hypothetical protein	MK689686.1_00083 hypothetical protein	MK689686.1_00083 hypothetical protein	NA	MK689686.1_00083 hypothetical protein	AF371960.1_00087 hypothetical protein	MK689686.1_00083 hypothetical protein	MK689686.1_00083 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	OQ475017.1_00082 OQ475017.1 - hypothetical protein translation	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	AF371960.1_00087 hypothetical protein	TSIV_ORF50 PQ335173_PQ335174 - hypothetical protein translation	93.65079365079364
OG0000079	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	GQ273492.1_00095 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	MG570131.1_00095 hypothetical protein	MG570132.1_00095 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	NA	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	NA	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	NA	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	NA	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	MK689686.1_00096 hypothetical protein	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	OQ475017.1_00096 OQ475017.1 - hypothetical protein translation	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	AF371960.1_00099 hypothetical protein	PQ335173_PQ335174_00034 PQ335173_PQ335174 - hypothetical protein translation	93.65079365079364
OG0000080	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	GQ273492.1_00097 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	MG570131.1_00097 hypothetical protein	MG570132.1_00097 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	NA	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	NA	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	NA	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	NA	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	MK689686.1_00098 hypothetical protein	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	OQ475017.1_00098 OQ475017.1 - hypothetical protein translation	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	AF371960.1_00101 hypothetical protein	PQ335173_PQ335174_00036 PQ335173_PQ335174 - hypothetical protein translation	93.65079365079364
OG0000081	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	GQ273492.1_00099 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	MG570131.1_00099 hypothetical protein	MG570132.1_00099 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	NA	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	NA	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	NA	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	NA	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	OQ475017.1_00100 OQ475017.1 - hypothetical protein translation	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	PQ335173_PQ335174_00037 PQ335173_PQ335174 - hypothetical protein translation	93.65079365079364
OG0000082	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	NA	MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein	MK689686.1_00117 hypothetical protein	MG570131.1_00115 hypothetical protein	MG570132.1_00115 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	NA	AF371960.1_00118 hypothetical protein	MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein	NA	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	NA	MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	NA	MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein	MK689686.1_00117 hypothetical protein	MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	OQ475017.1_00117 OQ475017.1 - hypothetical protein translation	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	AF371960.1_00118 hypothetical protein	PQ335173_PQ335174_00032 PQ335173_PQ335174 - hypothetical protein translation, PQ335173_PQ335174_00033 PQ335173_PQ335174 - hypothetical protein translation	92.06349206349206
OG0000083	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	MK689686.1_00091 hypothetical protein	ORF094L_refgen ORF094L	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	GQ273492.1_00090 hypothetical protein	MK689686.1_00091 hypothetical protein	ORF094L_refgen ORF094L	MK689686.1_00091 hypothetical protein	MG570131.1_00090 hypothetical protein	MG570132.1_00090 hypothetical protein	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	NA	ORF094L_refgen ORF094L	MK689686.1_00091 hypothetical protein	ORF094L_ref ren ORF094L	NA	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	NA	MK689686.1_00091 hypothetical protein	ORF094L_ref gen ORF094L	ORF094L_ref gen ORF094L	MK689686.1_00091 hypothetical protein	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	MK689686.1_00091 hypothetical protein	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	NA	MK689686.1_00091 hypothetical protein	ORF094L_refgen ORF094L	MK689686.1_00091 hypothetical protein	MK689686.1_00091 hypothetical protein	ORF094L_ref gen ORF094L	ORF094L_refgen ORF094L	OQ475017.1_00091 OQ475017.1 - hypothetical protein translation	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	ORF094L_refgen ORF094L	NA	92.06349206349206
