Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Andrias davidianus ranavirus isolate 1201, complete genome",Andrias davidianus ranavirus,45.4,45.4,90%,0.010,35.21,106734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC865735.1?report=genbank&log$=nucltop&blast_rank=93&RID=69FYWKXH014"",""KC865735.1"")"
"Red-eared slider ranavirus isolate WVL17367-02A, complete genome",Red-eared slider ranavirus,45.4,45.4,90%,0.010,35.21,106878,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT452035.1?report=genbank&log$=nucltop&blast_rank=94&RID=69FYWKXH014"",""MT452035.1"")"
"Rana catesbeiana virus isolate RC15027, complete genome",Rana catesbeiana virus,45.4,45.4,90%,0.010,35.21,106890,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX397571.1?report=genbank&log$=nucltop&blast_rank=95&RID=69FYWKXH014"",""KX397571.1"")"
"Common midwife toad virus isolate Pe/2015/Netherlands/UU3151009019, complete genome",Common midwife toad virus,45.4,45.4,90%,0.010,35.21,107054,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF125269.1?report=genbank&log$=nucltop&blast_rank=96&RID=69FYWKXH014"",""MF125269.1"")"
"Rana esculenta virus isolate REV 282/I02, complete genome",Rana esculenta virus,45.4,45.4,90%,0.010,35.21,107444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF538628.1?report=genbank&log$=nucltop&blast_rank=97&RID=69FYWKXH014"",""MF538628.1"")"
"Common midwife toad virus -E isolate Mesotriton alpestris/2008/E, complete genome",common midwife toad virus -E,45.1,45.1,90%,0.014,35.21,106878,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ231222.1?report=genbank&log$=nucltop&blast_rank=98&RID=69FYWKXH014"",""JQ231222.1"")"
"Pelophylax esculentus virus isolate PEV_DK1, complete genome",Pelophylax esculentus virus,44.7,44.7,90%,0.017,35.21,107469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF538627.1?report=genbank&log$=nucltop&blast_rank=99&RID=69FYWKXH014"",""MF538627.1"")"
"Ambystoma tigrinum virus isolate DO-ATV, complete genome",Ranavirus ambystoma1,44.7,44.7,90%,0.021,35.21,105936,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR075885.1?report=genbank&log$=nucltop&blast_rank=100&RID=69FYWKXH014"",""KR075885.1"")"



		


