Orthogroup	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MT128666	MT128667	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	occupancy	complete_level	num_values_present	missing_values
OG0000067	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	GQ273492.1_00098 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	MG570131.1_00098 hypothetical protein	MG570132.1_00098 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	MK689686.1_00099 hypothetical protein	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	OQ475017.1_00099 OQ475017.1 - hypothetical protein translation	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	AF371960.1_00102 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000068	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	GQ273492.1_00099 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	MG570131.1_00099 hypothetical protein	MG570132.1_00099 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	MK689686.1_00100 hypothetical protein	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	OQ475017.1_00100 OQ475017.1 - hypothetical protein translation	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	AF371960.1_00103 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000069	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	GQ273492.1_00100 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	MG570131.1_00100 hypothetical protein	MG570132.1_00100 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	MK689686.1_00101 hypothetical protein	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	OQ475017.1_00101 OQ475017.1 - hypothetical protein translation	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	AF371960.1_00104 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000070	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	GQ273492.1_00103 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	MG570131.1_00103 hypothetical protein	MG570132.1_00103 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	AF371960.1_00107 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000071	MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	ORF100R_refgen ORF100R	MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein	MK689686.1_00106 hypothetical protein	MG570131.1_00104 hypothetical protein	MG570132.1_00104 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein	MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein	MK689686.1_00106 hypothetical protein	MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	OQ475017.1_00106 OQ475017.1 - hypothetical protein translation	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	AF371960.1_00108 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000072	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	GQ273492.1_00106 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	MG570131.1_00106 hypothetical protein	MG570132.1_00106 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	MK689686.1_00108 hypothetical protein	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	AF371960.1_00110 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000073	MK689686.1_00109 hypothetical protein	AF371960.1_00111 hypothetical protein	MK689686.1_00109 hypothetical protein	MK689686.1_00109 hypothetical protein	MK689686.1_00109 hypothetical protein	GQ273492.1_00107 hypothetical protein	MK689686.1_00109 hypothetical protein	AF371960.1_00111 hypothetical protein	MK689686.1_00109 hypothetical protein	MG570131.1_00107 hypothetical protein	MG570132.1_00107 hypothetical protein	MK689686.1_00109 hypothetical protein	MK689686.1_00109 hypothetical protein	MK689686.1_00109 hypothetical protein	AF371960.1_00111 hypothetical protein	MK689686.1_00109 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	MK689686.1_00109 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	MK689686.1_00109 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	MK689686.1_00109 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	MK689686.1_00109 hypothetical protein	MK689686.1_00109 hypothetical protein	MK689686.1_00109 hypothetical protein	MK689686.1_00109 hypothetical protein	MK689686.1_00109 hypothetical protein	MK689686.1_00109 hypothetical protein	AF371960.1_00111 hypothetical protein	MK689686.1_00109 hypothetical protein	MK689686.1_00109 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	OQ475017.1_00109 OQ475017.1 - hypothetical protein translation	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	AF371960.1_00111 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000074	MK689686.1_00110 hypothetical protein	AF371960.1_00112 hypothetical protein	MK689686.1_00110 hypothetical protein	MK689686.1_00110 hypothetical protein	MK689686.1_00110 hypothetical protein	GQ273492.1_00108 hypothetical protein	MK689686.1_00110 hypothetical protein	AF371960.1_00112 hypothetical protein	MK689686.1_00110 hypothetical protein	MG570131.1_00108 hypothetical protein	MG570132.1_00108 hypothetical protein	MK689686.1_00110 hypothetical protein	MK689686.1_00110 hypothetical protein	MK689686.1_00110 hypothetical protein	AF371960.1_00112 hypothetical protein	MK689686.1_00110 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	MK689686.1_00110 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	MK689686.1_00110 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	MK689686.1_00110 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	MK689686.1_00110 hypothetical protein	MK689686.1_00110 hypothetical protein	MK689686.1_00110 hypothetical protein	MK689686.1_00110 hypothetical protein	MK689686.1_00110 hypothetical protein	MK689686.1_00110 hypothetical protein	AF371960.1_00112 hypothetical protein	MK689686.1_00110 hypothetical protein	MK689686.1_00110 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	AF371960.1_00112 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000075	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	GQ273492.1_00110 hypothetical protein	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	MK689686.1_00112 hypothetical protein	MG570131.1_00110 hypothetical protein	MG570132.1_00110 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000076	MK689686.1_00114 hypothetical protein	AF371960.1_00115 hypothetical protein	MK689686.1_00114 hypothetical protein	MK689686.1_00114 hypothetical protein	MK689686.1_00114 hypothetical protein	GQ273492.1_00112 hypothetical protein	MK689686.1_00114 hypothetical protein	AF371960.1_00115 hypothetical protein	MK689686.1_00114 hypothetical protein	MG570131.1_00112 hypothetical protein	MG570132.1_00112 hypothetical protein	MK689686.1_00114 hypothetical protein	MK689686.1_00114 hypothetical protein	MK689686.1_00114 hypothetical protein	AF371960.1_00115 hypothetical protein	MK689686.1_00114 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	MK689686.1_00114 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	MK689686.1_00114 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	MK689686.1_00114 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	MK689686.1_00114 hypothetical protein	MK689686.1_00114 hypothetical protein	MK689686.1_00114 hypothetical protein	MK689686.1_00114 hypothetical protein	MK689686.1_00114 hypothetical protein	MK689686.1_00114 hypothetical protein	AF371960.1_00115 hypothetical protein	MK689686.1_00114 hypothetical protein	MK689686.1_00114 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	OQ475017.1_00114 OQ475017.1 - hypothetical protein translation	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	AF371960.1_00115 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000077	MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	GQ273492.1_00113 hypothetical protein	MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein	MK689686.1_00115 hypothetical protein	MG570131.1_00113 hypothetical protein	MG570132.1_00113 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein	MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein	MK689686.1_00115 hypothetical protein	MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	OQ475017.1_00115 OQ475017.1 - hypothetical protein translation	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	AF371960.1_00116 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000078	MK689686.1_00116 hypothetical protein	AF371960.1_00117 hypothetical protein	MK689686.1_00116 hypothetical protein	MK689686.1_00116 hypothetical protein	MK689686.1_00116 hypothetical protein	GQ273492.1_00114 hypothetical protein	MK689686.1_00116 hypothetical protein	AF371960.1_00117 hypothetical protein	MK689686.1_00116 hypothetical protein	MG570131.1_00114 hypothetical protein	MG570132.1_00114 hypothetical protein	MK689686.1_00116 hypothetical protein	MK689686.1_00116 hypothetical protein	MK689686.1_00116 hypothetical protein	AF371960.1_00117 hypothetical protein	MK689686.1_00116 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	MK689686.1_00116 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	MK689686.1_00116 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	MK689686.1_00116 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	MK689686.1_00116 hypothetical protein	MK689686.1_00116 hypothetical protein	MK689686.1_00116 hypothetical protein	MK689686.1_00116 hypothetical protein	MK689686.1_00116 hypothetical protein	MK689686.1_00116 hypothetical protein	AF371960.1_00117 hypothetical protein	MK689686.1_00116 hypothetical protein	MK689686.1_00116 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	OQ475017.1_00116 OQ475017.1 - hypothetical protein translation	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	AF371960.1_00117 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000079	MK689686.1_00118 hypothetical protein	AF371960.1_00119 hypothetical protein	MK689686.1_00118 hypothetical protein	MK689686.1_00118 hypothetical protein	MK689686.1_00118 hypothetical protein	GQ273492.1_00116 hypothetical protein	MK689686.1_00118 hypothetical protein	AF371960.1_00119 hypothetical protein	MK689686.1_00118 hypothetical protein	MG570131.1_00116 hypothetical protein	MG570132.1_00116 hypothetical protein	MK689686.1_00118 hypothetical protein	MK689686.1_00118 hypothetical protein	MK689686.1_00118 hypothetical protein	AF371960.1_00119 hypothetical protein	MK689686.1_00118 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	MK689686.1_00118 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	MK689686.1_00118 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	MK689686.1_00118 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	MK689686.1_00118 hypothetical protein	MK689686.1_00118 hypothetical protein	MK689686.1_00118 hypothetical protein	MK689686.1_00118 hypothetical protein	MK689686.1_00118 hypothetical protein	MK689686.1_00118 hypothetical protein	AF371960.1_00119 hypothetical protein	MK689686.1_00118 hypothetical protein	MK689686.1_00118 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	OQ475017.1_00118 OQ475017.1 - hypothetical protein translation	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	AF371960.1_00119 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
