Genbank Accession,Genetic Information Source,Genus,Species,Virus ('organism name'),Acronym (of organism name),Isolate,Complete or partial genome,Sequence length (bp),Gene,Submitting organisation ,Geogrpahical location sampled,Host,Collection date,Publication DOI,Paper's first author (family name),Paper title,Year paper published ,In vivo or in vitro study,Phylogenetic analysis (yes/no),Platforms and tools (sequencing and other),Notes ,Isolate at ACDP (yes/no),File name,
AB666329,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1362,MCP (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Ehime,Seriola dumerili,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-2
Host: Seriola dumerili
Geo Location: Japan:Ehime
Collection Date: 1996
Submitters Names
Nakajima,K., Kurita,J.",,,
AB666330,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1362,MCP (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Kochi,Thunnus orientalis,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Nuc Completeness: partial
Strain: RSIV-3
Host: Thunnus orientalis
Geo Location: Japan:Kochi
Collection Date: 1996
Submitters Names
Nakajima,K., Kurita,J.",,,
AB666331,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1362,MCP (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Ehime,Pseudocaranx dentex,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-4
Host: Pseudocaranx dentex
Geo Location: Japan:Ehime
Collection Date: 1996
Submitters Names
Nakajima,K., Kurita,J.",,,
AB666332,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1362,MCP (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Ehime,Lateolabrax,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-5
Host: Lateolabrax
Geo Location: Japan:Ehime
Collection Date: 1996
Submitters Names
Nakajima,K., Kurita,J.",,,
AB666333,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1362,MCP (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Ehime,Seriola quinqueradiata,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-6
Host: Seriola quinqueradiata
Geo Location: Japan:Ehime
Collection Date: 1996
Submitters Names
Nakajima,K., Kurita,J.",,,
AB666334,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1362,MCP (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Ishikawa,Pagrus major,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-7
Host: Pagrus major
Geo Location: Japan:Ishikawa
Collection Date: 1996
Submitters Names
Nakajima,K., Kurita,J.",,,
AB666335,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1362,MCP (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Kanagawa,Pagrus major,23/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-8
Host: Pagrus major
Geo Location: Japan:Kanagawa
Collection Date: 2001
Submitters Names
Nakajima,K., Kurita,J.",,,
AB666336,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1362,MCP (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Miyazaki,Seriola dumerili,20/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbabk:
Strain: RSIV-9
Host: Seriola dumerili
Geo Location: Japan:Miyazaki
Collection Date: 1998
Submitters Names
Nakajima,K., Kurita,J.",,,
AB666350,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Hong Kong,,26/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: 2HSB
Geo Location: Hong Kong
Collection Date: 2004
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666351,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Singapore,Epinephelus fuscoguttatus,22/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbabk:
Strain: TGA12
Host: Epinephelus fuscoguttatus
Geo Location: Singapore
Collection Date: 2000
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666352,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Singapore,Epinephelus fuscoguttatus,24/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: TGA14
Host: Epinephelus fuscoguttatus
Geo Location: Singapore
Collection Date: 2002
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666353,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Hong Kong,Lateolabrax japonicus,26/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: 8Pe
Host: ELateolabrax japonicus
Geo Location: Hong Kong
Collection Date: 2004
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666354,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Hong Kong,Epinephelus coioides,26/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: 7GG
Host: Epinephelus coioides
Geo Location: Hong Kong
Collection Date: 2004
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666355,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Hong Kong,Epinephelus lanceolatus,24/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: GIG42
Host: Epinephelus lanceolatus
Geo Location: Hong Kong
Collection Date: 2002
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666356,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Hong Kong,Epinephelus coioides,26/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: 10GG
Mol Type: DNA
Host: Epinephelus coioides
Geo Location: Hong Kong
Collection Date: 2004
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666357,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Hong Kong,Epinephelus lanceolatus,26/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: GIG45
Host: Epinephelus lanceolatus
Geo Location: Hong Kong
Collection Date: 2004
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666358,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Hong Kong,Epinephelus coioides,26/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: 3GG1
Length: 720
Mol Type: DNA
Host: Epinephelus coioides
Geo Location: Hong Kong
Collection Date: 2004
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666359,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Hong Kong,Acanthopagrus latus,26/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: 6SB
Host: Acanthopagrus latus
Geo Location: Hong Kong
Collection Date: 2004
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666360,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan: Ehime,Oplegnathus fasciatus,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-1
Length: 720
Mol Type: DNA
Host: Oplegnathus fasciatus
Geo Location: Japan: Ehime
Collection Date: 1996
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666361,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan: Ehime,Seriola dumerili,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-2
Host: Seriola dumerili
Geo Location: Japan: Ehime
Collection Date: 1996
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666362,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Kochi,Thunnus orientalis,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-3
Host: Thunnus orientalis
Geo Location: Japan:Kochi
Collection Date: 1996
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666363,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Ehime,Pseudocaranx dentex,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-4
Host: Pseudocaranx dentex
Geo Location: Japan:Ehime
Collection Date: 1996
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666364,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Ehime,Lateolabrax japonicus,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"Genbank:
Strain: RSIV-5
Host: Lateolabrax japonicus
Geo Location: Japan:Ehime
Collection Date: 1996
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666365,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Ehime,Seriola quinqueradiata,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-6
Host: Seriola quinqueradiata
Geo Location: Japan:Ehime
Collection Date: 1996
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666366,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Ishikawa,Pagrus major,18/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-7
Host: Pagrus major
Geo Location: Japan:Ishikawa
Collection Date: 1996
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666367,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Kanagawa,Pagrus major,23/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-8
Host: Pagrus major
Geo Location: Japan:Kanagawa
Collection Date: 2001
Submitters Names
Kurita,J., Nakajima,K.",,,
AB666368,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,720,ATPase (complete cds),"Fisheries Research Agency, Diagnosis and Training Center for Fish Diseases; 422-1, Nakatsuhamaura, Minamiise, Watarai, Mie 516-0193, Japan",Japan:Miyazaki,Seriola dumerili,20/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: RSIV-9
Host: Seriola dumerili
Geo Location: Japan:Miyazaki
Collection Date: 1998
Submitters Names
Kurita,J., Nakajima,K.",,,
HQ992951,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,RSIV-Ku,partial,831,ORF37L Gene (partial cds),"National University of Kaohsiung, Life Sciences",Taiwan,Pagrus major,29/06/1905,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Length: 831
Mol Type: DNA
Host: Pagrus major
Geo Location: Taiwan
Collection Date: 2007
Submitters Names
Wen,C.M.",,,
AB104413,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,Ehime-1,Partial,112415,N/A,"National Research Institute of Aquaculture, Fisheries Research Agency, Virology section, Pathology division; 224-1 Hiruta, Tamaki,Watarai, Mie 519-0423, Japan",Japan: Ehime,Sparidae,None given,10.2222/jsv.55.115,Nakajima, マダイイリドウイルス病 or 'Red sea bream iridoviral disease',2005,,"Yes, but paper In Japanese. I believe it's a review paper.",Paper in Japanese,"From Genbank:
Strain: Ehime-1
Mol Type: DNA
Host: Sparidae
Geo Location: Japan: Ehime
Submitters Names
Kurita,J., Nakajima,K., Hirono,I., Aoki,T., Kunita,J.","Yes
Microstore: 0405-25-1030	
SAN: 03-02083 Provided by Jun Kurita",,
AB518696,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,630,"RSIV18R gene for hypothetical protein, partial cds ","Kuroshio science; Monobe Otsu 200, Nankoku, Kochi 783-8502, Japan",None given,None given,None given,https://doi.org/10.1111/j.1348-0421.2010.00204.x,Shimmoto,Protection of red sea bream Pagrus major against red sea bream iridovirus infection by vaccination with a recombinant viral protein,2010,,"They looked at the homology between the megalocytivirus genes sequenced and other genes but didn't specify how. 

They compared with, RBIV (GenBank accession no. AY532606) (26), OSGIV (GenBank accession no. AY894343) (27) and ISKNV (GenBank accession no. NC˙003494) (22) (Table 3).","Sequences were analyzed by using
an automated DNA sequencer ABI Prism 3100-Avant Genetic Analyzer (Applied Biosystems Foster, CA, USA).

They determined the sequences of three RSIV capsid proteins (ORF 18R, ORF 351R and MCP) which they used as subunit vaccines by assessing on partial or complete sequences of 630 bp (on 1654 bp), 258 bp and 1362 bp (ORF380R), respectively.","This paper described the use of megalocytivirus genes in the development of two types of vaccine. 

The nucleotide sequences of the two RSIV capsid proteins ORF 18R and ORF 351R were deposited in GenBank database under accession numbers AB518696 (this one) and AB518697, respectively.

From Genbank:
Nuc Completeness: partial
Submitters Names:
Shimmoto,H., Kawai,K., Ikawa,T., Oshima,S., Shinmoto,H.",,AY894343.1,
AB518697,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,261,"RSIV 351R gene for hypothetical protein, complete cds ","Kuroshio science; Monobe Otsu 200, Nankoku, Kochi 783-8502, Japan",None given,None given,None given,https://doi.org/10.1111/j.1348-0421.2010.00204.x,Shimmoto,Protection of red sea bream Pagrus major against red sea bream iridovirus infection by vaccination with a recombinant viral protein,2012,,"They looked at the homology between the megalocytivirus genes sequenced and other genes but didn't specify how. 

They compared with, RBIV (GenBank accession no. AY532606) (26), OSGIV (GenBank accession no. AY894343) (27) and ISKNV (GenBank accession no. NC˙003494) (22) (Table 3).","Sequences were analyzed by using
an automated DNA sequencer ABI Prism 3100-Avant Genetic Analyzer (Applied Biosystems Foster, CA, USA).

They determined the sequences of three RSIV capsid proteins (ORF 18R, ORF 351R and MCP) which they used as subunit vaccines by assessing on partial or complete sequences of 630 bp (on 1654 bp), 258 bp and 1362 bp (ORF380R), respectively.","This paper described the use of megalocytivirus genes in the development of two types of vaccine. 

The nucleotide sequences of the two RSIV capsid proteins ORF 18R and ORF 351R were deposited in GenBank database under accession numbers AB518696 (this one) and AB518697, respectively.

From Genbank:
Nuc Completeness: partial
Submitters Names:
Shimmoto,H., Kawai,K., Ikawa,T., Oshima,S., Shinmoto,H.",,,
AB461855,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1359,MCP (partial cds),"Kuroshio science; Monobe 200, Nankoku, kouchi 783-8502, Japan",None given,None given,None given,https://doi.org/10.1128/AEM.02255-08,Shinmoto,Phenotypic Diversity of Infectious Red Sea Bream Iridovirus Isolates from Cultured Fish in Japan,2009,,"Yes - Phylogenetic analysis. The DNA sequences were compared with the GenBank/EMBL databases using BLAST (National Center for Biotechnology Information). Sequences were aligned using Clustal W (40), and then a phylogenetic tree was made with the TreeView program (33). The phylogenetic relationships between species were determined using the neighbor-joining method (36), and the reliability of the neighbor-joining tree was inferred using the bootstrap method (12) with 1,000 replicates.","The PCR products were purified with a commercial kit (Easytrap, version 2; Takara Bio Inc.) and cloned into a plasmid vector for subsequent transformation of Escherichia coli with a commercial kit (pGEM-T Easy Vector System; Promega Corp.). 

Plasmid DNA was purified from E. coli cells with a commercial kit (QIAprep Miniprep System; Qiagen, Inc.) for sequence analysis using the automated DNA sequencer ABI Prism 3100-Avant Genetic Analyzer (Applied Biosystems).","From Genbank:
Strain: KST-Y-1",,,
AB461856,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1359,MCP (partial cds),"Kuroshio science; Monobe 200, Nankoku, kouchi 783-8502, Japan",None given,None given,None given,https://doi.org/10.1128/AEM.02255-08,Shinmoto,Phenotypic Diversity of Infectious Red Sea Bream Iridovirus Isolates from Cultured Fish in Japan,2009,,"Yes - Phylogenetic analysis. The DNA sequences were compared with the GenBank/EMBL databases using BLAST (National Center for Biotechnology Information). Sequences were aligned using Clustal W (40), and then a phylogenetic tree was made with the TreeView program (33). The phylogenetic relationships between species were determined using the neighbor-joining method (36), and the reliability of the neighbor-joining tree was inferred using the bootstrap method (12) with 1,000 replicates.NJ method used. MCP was analysied","The PCR products were purified with a commercial kit (Easytrap, version 2; Takara Bio Inc.) and cloned into a plasmid vector for subsequent transformation of Escherichia coli with a commercial kit (pGEM-T Easy Vector System; Promega Corp.). 

Plasmid DNA was purified from E. coli cells with a commercial kit (QIAprep Miniprep System; Qiagen, Inc.) for sequence analysis using the automated DNA sequencer ABI Prism 3100-Avant Genetic Analyzer (Applied Biosystems).","From Genbank:
Strain: U-6
Length: 1359",,,
AB263097,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1317,MCP (partial cds),"Laboratory of Cell structure and Function; Monobe 200, Nankoku, Kochi 783-8502, Japan",Japan: Kochi,Sparidae,23/06/1905, 10.1016/j.virusres.2006.12.020,Imajoh ,"Characterization of a new fibroblast cell line from a tail fin of red sea bream, Pagrus major, and phylogenetic relationships of a recent RSIV isolate in Japan",2007,,"Yes - MCP and ATPase were selected to assess the plogenetic relationships for iridoviruses. In this study, MCP and ATPase regions of the novel RSIV strain U-1 were sequenced by dye termination method. 

The determined sequences were submitted to GenBank and assigned the accession numbers.

MCP and ATPase sequences of RSIV strain U-1 were analyzed for phylogenetic relationships and RSIV strain ehime-1 was used as the outgroup of the phylogenetic tree. 

All sequences were analysed by using ClustalW grogram. RSIV strain ehime-1 was used as the outgroup. The significance of branching order was assessed by bootstrap resampling of 1000 replicates. ",PCR products were purified with EASYTRAP Version 2 (TaKaRa) and cloned into a PGEM-T Easy vector (Promega) for sequencing analysis by using an automated DNA sequencer (ABI Prism 3100-Avant Genetic Analyzer; Applied Biosystems).,"
From Genbank
Strain: U-1
Length: 1317
Mol Type: DNA
Host: Sparidae
Geo Location: Japan: Kochi
Collection Date: 2001",,,
AB263098,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,678,ATPase ,"Laboratory of Cell structure and Function; Monobe 200, Nankoku, Kochi 783-8502, Japan",Japan: Kochi,Sparidae,23/06/1905, 10.1016/j.virusres.2006.12.020,Imajoh ,"Characterization of a new fibroblast cell line from a tail fin of red sea bream, Pagrus major, and phylogenetic relationships of a recent RSIV isolate in Japan",2007,,"Yes - MCP and ATPase were selected to assess the plogenetic relationships for iridoviruses. In this study, MCP and ATPase regions of the novel RSIV strain U-1 were sequenced by dye termination method. 

The determined sequences were submitted to GenBank and assigned the accession numbers.

MCP and ATPase sequences of RSIV strain U-1 were analyzed for phylogenetic relationships and RSIV strain ehime-1 was used as the outgroup of the phylogenetic tree. 

All sequences were analysed by using ClustalW grogram. RSIV strain ehime-1 was used as the outgroup. The significance of branching order was assessed by bootstrap resampling of 1000 replicates.  NJ method was used. ",PCR products were purified with EASYTRAP Version 2 (TaKaRa) and cloned into a PGEM-T Easy vector (Promega) for sequencing analysis by using an automated DNA sequencer (ABI Prism 3100-Avant Genetic Analyzer; Applied Biosystems).,"From Genbank:
Strain: U-1
Host: Sparidae
Geo Location: Japan: Kochi
Collection Date: 2001",,,
AB212669,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1044,Gene for hypothetical protein,"Syun-ichirou Oshima, Kochi University, Laboratory of Cell structure and Function; Monobe 200, Nankoku, Kochi 783-8502, Japan",None given,None given,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Submitters Names
Oshima,S., Shinmoto,H., Kawai,K.",,,
AB212670,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,897,Unknown genes,"Syun-ichirou Oshima, Kochi University, Laboratory of Cell structure and Function; Monobe 200, Nankoku, Kochi 783-8502, Japan",None given,None given,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Nuc Completeness: partial
Strain: Namhae
Length: 5130
Mol Type: DNA",,,
AF506370,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,5130,Unknown genes,"Pukyong National University, Department of Aquatic Life Medicine, Korea",None given,None given,None given,N/A,N/A,N/A,N/A,,N/A,N/A,"From Genbank:
Strain: Namhae
Length: 5130
Mol Type: DNA
Submitters Names
Jeong,J.B., Kim,H.Y., Kim,K.H., Chung,J.-K., Komisar,J.L., Jeong,H.D., Jeong,J., Jeon,L., Yoo,M., Kim,M., Komisar,J., Jeong,H.",,,
AY310918,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,None given,partial,1362,MCP (complete cds),"Samutsakhon Coastal Fisheries Research and Development Center, Department of Fisheries, Thailand",Japan,Sparidae,None given,https://doi.org/10.1007/s00705-002-0883-6,Sudthongkong,"Viral DNA sequences of genes encoding the ATPase and the major capsid protein of tropical iridovirus isolates which are pathogenic to fishes in Japan, South China Sea and Southeast Asian countries",2002,,"Yes,  sequences and analysed DNA sequences encoding ATPase and MCP of iridovirus isolates from a range of fish species. In order to determine a taxonomical position of tropical iridovirus,  DNA sequences of ATPase and MCP were compared with the known nucleotide sequences of members in Ranavirus, Iridovirus and Lymphocystivirus.

Phylogeneic relationships were deduced using the neighbor joining distance using PAUP version 4.0b10. Analysis was done on deduced amino acid alignments o ftheATPase gene-encoding region and the MCP gene-encoding region of the iridovirus isolates and other viruses encompassed in the Family.  ","ThePCRproducts with the 2 primer sets for theATPase gene of DGIV and with 3 primer sets for the MCP gene ofall 5 isolates were EcoRI-HindIII double digested, and ligated with EcoRI-HindIII double digested plasmid vector pUC119. 

The recombinant plasmids were routinely isolated and manipulated. DNA sequencing was carried out using Thermo SequinaseTM cycle sequencing kit and a DNA sequencer, Model 4000L (Li-COR). For each PCR fragments, three to four clones were sequenced to verify replication error","From Genbank:
Mol Type: DNA
Host: Sparidae
Geo Location: Japan",,,
